time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.093,599.9786,4.9438,250.0047,0.0000,180.0000,0.0000
0.205,599.8964,4.7624,250.1365,0.0000,180.0000,0.0000
0.313,599.7884,4.5258,250.4148,0.0000,180.0000,0.0000
0.422,599.6129,4.1506,250.9386,0.0000,180.0000,0.0000
0.529,599.4297,3.7696,251.5114,0.0000,180.0000,0.0000
0.633,599.2150,3.3329,252.1896,0.0000,180.0000,0.0000
0.752,598.9185,2.7427,253.1231,0.0000,180.0000,0.0000
0.868,598.5836,2.0881,254.1692,0.0000,180.0000,0.0000
0.986,598.3027,1.4451,255.0374,357.5237,180.0005,359.9813
1.102,598.0986,1.0262,255.6683,354.0146,180.0013,0.0048
1.223,597.9351,0.8361,256.1845,352.1690,180.0005,0.0487
1.343,597.7932,0.7816,256.6435,351.2802,179.9995,0.0771
1.460,597.6841,0.7764,257.0005,350.7286,179.9987,0.0853
1.582,597.5383,0.7598,257.4740,349.9322,179.9976,0.0691
1.698,597.4369,0.7176,257.7973,349.3652,179.9970,0.0290
1.820,597.2964,0.6099,258.2341,348.7908,179.9971,359.9348
1.935,597.1966,0.5060,258.5385,348.7908,179.9971,359.9348
2.051,597.0767,0.3659,258.8994,348.7908,179.9971,359.9348
2.232,596.8962,0.1552,259.4377,349.0582,179.9942,359.1992
2.339,596.7955,0.0495,259.7371,349.6310,179.9835,358.7281
2.468,596.6530,-0.0764,260.1575,350.9064,179.9467,358.0558
2.569,596.5498,-0.1486,260.4581,352.1103,179.8999,357.5599
2.669,596.4451,-0.2056,260.7580,353.5174,179.8332,357.0592
2.771,596.3386,-0.2477,261.0564,355.0858,179.7453,356.5691
2.885,596.2083,-0.2794,261.4113,357.1136,179.6134,356.0193
2.996,596.0975,-0.2909,261.7030,358.8644,179.4850,355.6111
3.096,595.9850,-0.2899,261.9904,0.6138,179.3452,355.2607
3.209,595.8478,-0.2737,262.3287,2.6390,179.1711,354.9289
3.309,595.7320,-0.2491,262.6048,4.2105,179.0285,354.7336
3.422,595.5916,-0.2081,262.9294,5.9004,178.8699,354.6014
3.526,595.4739,-0.1657,263.1944,7.1131,178.7542,354.5773
3.626,595.3557,-0.1173,263.4551,8.1304,178.6572,354.6306
3.740,595.2144,-0.0525,263.7631,9.0855,178.5675,354.7950
3.843,595.0974,0.0058,264.0168,9.6651,178.5150,355.0140
3.958,594.9811,0.0674,264.2683,10.0617,178.4808,355.3065
4.064,594.8436,0.1447,264.5683,10.3254,178.4597,355.7538
4.177,594.7311,0.2116,264.8176,10.4001,178.4543,356.2056
4.287,594.5986,0.2947,265.1165,10.3636,178.4565,356.8404
4.398,594.4908,0.3666,265.3657,10.2700,178.4612,357.4421
4.506,594.3649,0.4564,265.6647,10.1376,178.4663,358.2403
4.618,594.2635,0.5352,265.9138,10.0551,178.4684,358.9532
4.727,594.1462,0.6354,266.2119,10.0551,178.4686,359.8348
4.845,594.0336,0.7425,266.5083,10.2184,178.4696,0.7023
4.953,593.9435,0.8369,266.7535,10.4651,178.4742,1.3773
5.066,593.8394,0.9548,267.0450,10.8086,178.4848,2.0863
5.172,593.7556,1.0554,267.2863,11.0526,178.4949,2.5630
5.280,593.6573,1.1761,267.5747,11.1238,178.4983,2.7194
