time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
6.243,591.7903,2.1143,270.4601,0.2510,3.8000,-0.4500,3.4303,178.3372,358.8021
6.351,591.6825,2.0688,270.7584,0.2510,3.8000,-0.4500,2.1078,178.3761,357.8211
6.465,591.5510,1.9947,271.1195,0.2510,3.8000,-0.4500,0.6339,178.4473,356.6272
6.577,591.4400,1.9206,271.4215,0.2510,3.8000,-0.4500,359.5643,178.5193,355.6539
6.684,591.3060,1.8222,271.7835,0.2510,3.8000,-0.4500,358.5421,178.6065,354.5531
6.784,591.1935,1.7370,272.0840,0.2510,3.8000,-0.4500,357.9515,178.6670,353.7179
6.892,591.0803,1.6528,272.3826,0.2510,3.8000,-0.4500,357.6246,178.7049,352.9747
7.000,590.9429,1.5578,272.7381,0.2510,3.8000,-0.4500,357.5968,178.7081,352.2163
7.109,590.8271,1.4871,273.0316,0.2510,3.8000,-0.4500,357.8770,178.6682,351.6971
7.221,590.6859,1.4157,273.3803,0.2510,3.8000,-0.4500,358.5583,178.5654,351.2009
7.329,590.5661,1.3693,273.6676,0.2510,3.8000,-0.4500,359.3857,178.4347,350.8797
7.440,590.4441,1.3356,273.9515,0.2510,3.8000,-0.4500,0.4129,178.2673,350.6261
7.549,590.2947,1.3121,274.2870,0.2510,3.8000,-0.4500,1.8476,178.0271,350.3872
7.660,590.1680,1.3063,274.5622,0.2510,3.8000,-0.4500,3.1504,177.8044,350.2261
7.769,590.0139,1.3141,274.8868,0.2510,3.8000,-0.4500,4.7510,177.5256,350.0672
7.874,589.8837,1.3311,275.1530,0.2510,3.8000,-0.4500,6.0345,177.2986,349.9613
7.987,589.7265,1.3602,275.4686,0.2510,3.8000,-0.4500,7.4020,177.0536,349.8672
8.097,589.5950,1.3882,275.7299,0.2510,3.8000,-0.4500,8.3057,176.8901,349.8167
8.202,589.4376,1.4222,276.0440,0.2510,3.8000,-0.4500,9.0135,176.7614,349.7850
8.306,589.3070,1.4468,276.3098,0.2510,3.8000,-0.4500,9.0135,176.7614,349.7850
8.408,589.1765,1.4698,276.5757,0.2510,3.8000,-0.4500,9.0135,176.7614,349.7850
8.517,589.0466,1.4901,276.8427,0.2510,3.8000,-0.4500,9.0135,176.7614,349.7850
8.623,588.8915,1.5084,277.1651,0.2510,3.8000,-0.4500,9.0135,176.7614,349.7850
8.726,588.7626,1.5108,277.4399,0.2510,3.8000,-0.4500,8.6133,176.8349,349.6170
8.840,588.6348,1.5013,277.7200,0.2510,3.8000,-0.4500,7.9446,176.9603,349.3650
8.949,588.4824,1.4742,278.0619,0.2510,3.8000,-0.4500,6.9542,177.1510,349.0124
9.052,588.3568,1.4365,278.3518,0.2510,3.8000,-0.4500,5.9833,177.3438,348.6713
9.160,588.2326,1.3842,278.6457,0.2510,3.8000,-0.4500,4.8972,177.5661,348.2900
9.267,588.0856,1.3020,279.0025,0.2510,3.8000,-0.4500,3.4859,177.8658,347.7990
9.372,587.9654,1.2186,279.3022,0.2510,3.8001,-0.4500,2.2715,178.1333,347.3893
9.490,587.8234,1.1040,279.6625,0.2510,3.8000,-0.4500,0.8470,178.4581,346.9436
9.779,587.4995,0.8073,280.4984,0.2510,3.8000,-0.4500,358.1701,179.0946,346.4347
9.895,587.3618,0.6855,280.8520,0.2510,3.7999,-0.4500,357.4982,179.2562,346.5899
10.003,587.2230,0.5781,281.2025,0.2510,3.7999,-0.4500,357.1971,179.3272,347.0392
10.104,587.1061,0.5052,281.4927,0.2510,3.8000,-0.4500,357.2523,179.3151,347.6589
10.206,586.9884,0.4514,281.7810,0.2510,3.7999,-0.4500,357.5908,179.2438,348.5079
10.327,586.8469,0.4166,282.1243,0.2510,3.8000,-0.4500,358.3564,179.0975,349.8200
10.435,586.7297,0.4147,282.4077,0.2510,3.8000,-0.4500,359.2628,178.9456,351.1349
10.541,586.5921,0.4457,282.7433,0.2510,3.8000,-0.4500,0.6059,178.7578,352.9288
10.646,586.4822,0.4979,283.0185,0.2510,3.8000,-0.4500,1.8656,178.6196,354.5506
10.747,586.3778,0.5713,283.2888,0.2510,3.8000,-0.4500,3.1754,178.5139,356.2303
10.847,586.2803,0.6618,283.5539,0.2510,3.8000,-0.4500,4.4587,178.4480,357.9111
10.950,586.1899,0.7649,283.8142,0.2510,3.8000,-0.4500,5.6444,178.4213,359.5381
11.064,586.0908,0.8993,284.1210,0.2510,3.8000,-0.4500,6.8582,178.4304,1.3528
11.172,586.0153,1.0156,284.3731,0.2510,3.8000,-0.4500,7.6526,178.4586,2.7072
11.272,585.9452,1.1325,284.6235,0.2510,3.8000,-0.4500,8.2351,178.4923,3.8922
11.384,585.8664,1.2710,284.9228,0.2510,3.8000,-0.4500,8.6719,178.5266,5.0746
11.495,585.8041,1.3839,285.1721,0.2510,3.8000,-0.4500,8.8613,178.5449,5.8597
11.616,585.7318,1.5171,285.4712,0.2510,3.8000,-0.4500,8.9761,178.5575,6.5745
11.719,585.6722,1.6264,285.7197,0.2510,3.8000,-0.4500,9.0574,178.5673,6.9257
11.827,585.6015,1.7591,286.0154,0.2510,3.8000,-0.4500,9.2540,178.5918,7.1182
11.938,585.5455,1.8776,286.2561,0.2510,3.8000,-0.4500,9.7258,178.6527,7.3581
12.045,585.4785,2.0239,286.5387,0.2510,3.8000,-0.4500,10.4641,178.7506,7.4706
12.155,585.4221,2.1487,286.7688,0.2510,3.8000,-0.4500,11.1600,178.8433,7.4325
12.266,585.3528,2.3004,287.0388,0.2510,3.8000,-0.4500,11.9990,178.9539,7.2498
12.379,585.2931,2.4267,287.2599,0.2510,3.8000,-0.4500,12.6286,179.0345,6.9928
12.490,585.2180,2.5756,287.5225,0.2510,3.8000,-0.4500,13.2201,179.1069,6.5653
12.601,585.1382,2.7191,287.7848,0.2510,3.8000,-0.4500,13.5630,179.1460,6.0162
12.710,585.0676,2.8323,288.0053,0.2510,3.7999,-0.4500,13.6196,179.1521,5.4764
12.824,584.9771,2.9584,288.2751,0.2510,3.8000,-0.4500,13.3792,179.1303,4.7507
12.937,584.8972,3.0535,288.5063,0.2510,3.8000,-0.4500,12.9046,179.0928,4.1045
13.050,584.7960,3.1530,288.7938,0.2510,3.8000,-0.4500,11.9923,179.0326,3.3185
13.160,584.6896,3.2329,289.0947,0.2510,3.8000,-0.4500,10.7005,178.9654,2.5624
13.262,584.5977,3.2811,289.3568,0.2510,3.8000,-0.4500,9.3396,178.9109,1.9750
13.369,584.5031,3.3101,289.6298,0.2510,3.8000,-0.4500,7.7371,178.8630,1.4365
13.482,584.3868,3.3168,289.9711,0.2510,3.8000,-0.4500,5.5375,178.8190,0.8645
13.582,584.2886,3.2979,290.2659,0.2510,3.8000,-0.4500,3.5269,178.7960,0.4581
13.690,584.1898,3.2571,290.5682,0.2510,3.8000,-0.4500,1.4185,178.7855,0.1245
13.800,584.0907,3.1962,290.8758,0.2510,3.8000,-0.4500,359.2836,178.7858,359.8731
13.902,583.9722,3.1007,291.2492,0.2510,3.8000,-0.4500,356.7940,178.7957,359.6943
14.016,583.8740,3.0072,291.5622,0.2510,3.8000,-0.4500,354.8655,178.8069,359.6600
14.125,583.7577,2.8847,291.9381,0.2510,3.8000,-0.4500,352.8216,178.8176,359.7738
14.238,583.6622,2.7792,292.2510,0.2510,3.8000,-0.4500,351.4036,178.8206,0.0143
14.346,583.5493,2.6551,292.6260,0.2510,3.8000,-0.4500,350.0974,178.8154,0.4919
14.455,583.4573,2.5580,292.9384,0.2510,3.8000,-0.4500,349.3581,178.8058,1.0460
14.563,583.3495,2.4536,293.3137,0.2510,3.8000,-0.4500,348.8851,178.7941,1.8767
14.676,583.2621,2.3787,293.6267,0.2510,3.8000,-0.4500,348.8091,178.7913,2.6758
14.783,583.1609,2.3041,294.0029,0.2510,3.8000,-0.4500,349.0378,178.8048,3.7094
14.892,583.0793,2.2542,294.3166,0.2510,3.8000,-0.4500,349.4276,178.8338,4.5864
15.003,582.9847,2.2066,294.6930,0.2510,3.8000,-0.4500,350.0313,178.8886,5.6025
15.113,582.9080,2.1747,295.0060,0.2510,3.8000,-0.4500,350.5592,178.9449,6.3875
15.224,582.8189,2.1433,295.3812,0.2510,3.8000,-0.4500,351.1300,179.0140,7.2390
15.347,582.7325,2.1207,295.7555,0.2510,3.8000,-0.4500,351.6805,179.0885,7.9875
15.453,582.6628,2.1111,296.0656,0.2510,3.8000,-0.4500,352.2572,179.1733,8.5259
15.566,582.5822,2.1128,296.4340,0.2510,3.8000,-0.4500,353.1735,179.3164,9.0437
15.674,582.5167,2.1245,296.7372,0.2510,3.8000,-0.4500,354.0954,179.4667,9.3348
15.776,582.4516,2.1433,297.0365,0.2510,3.8000,-0.4500,355.0935,179.6330,9.4654
15.886,582.3723,2.1714,297.3903,0.2510,3.8000,-0.4500,356.2892,179.8324,9.3715
15.999,582.3037,2.1956,297.6812,0.2510,3.8000,-0.4500,357.2067,179.9818,9.0618
16.101,582.2161,2.2206,298.0264,0.2510,3.8000,-0.4500,358.1358,180.1253,8.3988
16.209,582.1378,2.2345,298.3121,0.2510,3.8000,-0.4500,358.7253,180.2085,7.6058
16.318,582.0536,2.2392,298.5970,0.2510,3.8000,-0.4500,359.1247,180.2587,6.6086
16.442,581.9260,2.2259,298.9964,0.2510,3.8000,-0.4500,359.3544,180.2830,4.9171
16.555,581.8279,2.2003,299.2830,0.2510,3.8000,-0.4500,359.2933,180.2788,3.5471
