time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.082,600.0000,4.9438,250.0000,0.0000,180.0000,0.0000
0.190,600.0000,4.8007,250.0000,0.0000,180.0000,0.0000
0.295,600.0000,4.5789,250.0000,0.0000,180.0000,0.0000
0.396,600.0000,4.2861,250.0000,0.0000,180.0000,0.0000
0.513,600.0000,3.8505,250.0000,0.0000,180.0000,0.0000
0.627,600.0000,3.3329,250.0000,0.0000,180.0000,0.0000
0.758,600.0000,2.7427,250.0000,0.0000,180.0000,0.0000
0.877,600.0000,2.0881,250.0000,0.0000,180.0000,0.0000
0.991,600.0000,1.3766,250.0000,0.0000,180.0000,0.0000
1.100,600.0000,0.7449,250.0000,0.0000,180.0000,0.0000
1.227,600.0000,-0.1921,250.0000,0.0000,180.0000,0.0000
1.346,600.0000,-1.0384,250.0000,0.0000,180.0000,0.0000
1.454,600.0000,-1.7706,250.0000,0.0000,180.0000,0.0000
1.563,600.0000,-2.6782,250.0000,0.0000,180.0000,0.0000
1.680,600.0000,-3.4561,250.0000,0.0000,180.0000,0.0000
1.788,599.9990,-4.3193,249.8980,357.5451,179.9995,0.0255
1.898,599.9970,-4.8010,249.7058,353.0482,179.9955,0.0749
2.022,599.9947,-5.1260,249.5225,349.1970,179.9889,0.1228
2.129,599.9936,-5.2055,249.4433,347.9318,179.9859,0.1428
2.237,599.9927,-5.2332,249.3862,347.3140,179.9842,0.1561
2.354,599.9924,-5.2705,249.3443,347.3140,179.9842,0.1561
2.461,599.9920,-5.3541,249.3023,347.3140,179.9843,0.1561
2.562,599.9917,-5.4700,249.2674,347.3140,179.9843,0.1561
2.668,599.9914,-5.6231,249.2325,347.3140,179.9843,0.1561
2.779,599.9911,-5.8025,249.1978,347.3140,179.9843,0.1561
2.883,599.9907,-6.0358,249.1564,347.3139,179.9843,0.1561
2.990,599.9904,-6.2333,249.1221,347.3139,179.9843,0.1561
3.101,599.9901,-6.4644,249.0813,347.3140,179.9843,0.1560
3.208,599.9897,-6.6485,249.0476,347.3140,179.9843,0.1560
3.316,599.9894,-6.8243,249.0142,347.3140,179.9843,0.1560
3.424,599.9891,-7.0261,248.9746,347.3140,179.9843,0.1560
3.535,599.9888,-7.1886,248.9421,347.3140,179.9843,0.1561
3.641,599.9940,-7.3810,248.9161,347.6465,179.9848,0.0192
3.752,599.9981,-7.5403,248.8943,347.8869,179.9847,359.9235
3.862,600.0048,-7.7295,248.8737,348.2836,179.9836,359.7718
3.973,600.0090,-7.8857,248.8541,348.5170,179.9825,359.6828
4.088,600.0165,-8.0724,248.8363,348.9077,179.9798,359.5323
4.191,600.0219,-8.2247,248.8199,349.1577,179.9775,359.4327
4.291,600.0305,-8.3762,248.8112,349.5793,179.9726,359.2612
4.397,600.0392,-8.5250,248.8029,349.9747,179.9668,359.0955
4.504,600.0489,-8.6995,248.7911,350.3604,179.9601,358.9278
4.610,600.0590,-8.8421,248.7857,350.7597,179.9519,358.7485
4.749,600.0739,-9.0368,248.7802,351.3159,179.9383,358.4909
4.854,600.0852,-9.1723,248.7779,351.7148,179.9270,358.3008
4.954,600.0972,-9.3048,248.7771,352.1198,179.9142,358.1040
5.058,600.1099,-9.4344,248.7779,352.5329,179.8996,357.9000
5.165,600.1259,-9.5859,248.7809,353.0405,179.8797,357.6458
5.275,600.1399,-9.7089,248.7851,353.4732,179.8610,357.4271
5.384,600.1573,-9.8522,248.7923,354.0037,179.8357,357.1577
5.487,600.1724,-9.9682,248.7999,354.4543,179.8123,356.9289
5.594,600.1877,-10.0807,248.8089,354.9123,179.7867,356.6975
5.702,600.2066,-10.2111,248.8217,355.4707,179.7530,356.4186
5.808,600.2225,-10.3157,248.8337,355.9425,179.7224,356.1871
5.915,600.2382,-10.4165,248.8471,356.4197,179.6896,355.9586
6.023,600.2573,-10.5321,248.8647,356.9985,179.6473,355.6909
6.123,600.2728,-10.6237,248.8807,357.4854,179.6096,355.4758
6.229,600.2878,-10.7108,248.8978,357.9759,179.5699,355.2708
6.338,600.3021,-10.7931,248.9158,358.4695,179.5282,355.0788
6.439,600.3156,-10.8702,248.9348,358.9659,179.4846,354.9038
6.543,600.3300,-10.9554,248.9586,359.5644,179.4303,354.7223
6.643,600.3406,-11.0198,248.9791,0.0649,179.3835,354.5990
6.752,600.3495,-11.0777,249.0002,0.5667,179.3356,354.5040
6.859,600.3566,-11.1288,249.0217,1.0694,179.2869,354.4390
6.965,600.3624,-11.1804,249.0479,1.6728,179.2279,354.4021
7.080,600.3651,-11.2148,249.0697,2.1752,179.1786,354.4063
7.190,600.3655,-11.2452,249.0958,2.7763,179.1199,354.4540
7.301,600.3627,-11.2630,249.1214,3.3743,179.0622,354.5486
7.403,600.3581,-11.2677,249.1421,3.8693,179.0154,354.6632
7.507,600.3513,-11.2629,249.1620,4.3601,178.9700,354.8101
7.610,600.3423,-11.2481,249.1808,4.8456,178.9265,354.9886
7.714,600.3313,-11.2233,249.1984,5.3247,178.8852,355.1985
7.822,600.3154,-11.1796,249.2175,5.8897,178.8389,355.4904
7.931,600.3003,-11.1315,249.2315,6.3510,178.8034,355.7659
8.036,600.2835,-11.0725,249.2436,6.8020,178.7710,356.0694
8.139,600.2653,-11.0025,249.2535,7.2416,178.7418,356.3996
8.242,600.2418,-10.9039,249.2621,7.7523,178.7113,356.8289
