time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.100,599.9137,6.9065,249.9376,358.4730,179.9718,2.1147
0.208,599.7940,11.4189,249.8512,356.2993,179.8339,5.1392
0.316,599.7404,15.3218,249.8127,355.2989,179.7313,6.5460
0.425,599.7131,18.9290,249.7934,354.7829,179.6685,7.2866
0.532,599.7134,20.8986,249.7937,354.7829,179.6685,7.2865
0.639,599.7134,22.5533,249.7937,354.7829,179.6685,7.2866
0.756,599.7134,24.2094,249.7937,354.7829,179.6685,7.2866
0.867,599.7134,25.5446,249.7937,354.7829,179.6685,7.2866
0.973,599.7134,26.4389,249.7937,354.7829,179.6685,7.2866
1.077,599.7134,27.1549,249.7937,354.7829,179.6684,7.2866
1.186,599.7134,27.8027,249.7937,354.7829,179.6684,7.2866
1.294,599.7134,28.1844,249.7937,354.7829,179.6684,7.2866
1.402,599.7134,28.4733,249.7937,354.7829,179.6684,7.2866
1.502,599.7134,28.5874,249.7937,354.7829,179.6684,7.2866
1.607,599.7134,28.5981,249.7937,354.7829,179.6684,7.2865
1.718,599.7134,28.5155,249.7937,354.7829,179.6684,7.2865
1.818,599.7134,28.3484,249.7937,354.7829,179.6684,7.2865
1.924,599.7134,28.0478,249.7937,354.7829,179.6684,7.2865
2.028,599.7134,27.7225,249.7937,354.7829,179.6684,7.2866
2.131,599.7133,27.3360,249.7937,354.7829,179.6684,7.2866
2.242,599.7133,26.7998,249.7937,354.7829,179.6684,7.2866
2.349,599.7133,26.2988,249.7937,354.7829,179.6684,7.2866
2.458,599.7133,25.7535,249.7937,354.7829,179.6684,7.2866
2.573,599.7133,25.0467,249.7937,354.7829,179.6684,7.2866
2.680,599.7133,24.2890,249.7937,354.7829,179.6684,7.2866
2.789,599.7133,23.6227,249.7937,354.7829,179.6684,7.2866
2.900,599.7133,22.9281,249.7937,354.7829,179.6684,7.2866
3.006,599.7133,22.0610,249.7937,354.7829,179.6684,7.2866
3.111,599.7133,21.3133,249.7937,354.7829,179.6684,7.2866
3.213,599.7133,20.5450,249.7937,354.7829,179.6684,7.2866
3.319,599.7133,19.7582,249.7937,354.7829,179.6684,7.2866
3.426,599.7133,18.7920,249.7937,354.7829,179.6684,7.2866
3.538,599.7113,17.9939,249.7922,354.7829,179.6684,7.2866
3.652,599.7772,17.3167,249.7572,354.1902,179.6020,5.3876
3.763,599.8298,17.0287,249.7247,353.6606,179.5591,3.9115
3.863,599.8420,16.9972,249.7063,353.4130,179.5431,3.5074
3.969,599.8380,17.0667,249.6988,353.4130,179.5430,3.5074
4.077,599.8315,17.1691,249.6899,353.3627,179.5399,3.5808
4.177,599.8094,17.2614,249.6756,353.1454,179.5254,4.0470
4.284,599.7797,17.3260,249.6654,353.0261,179.5164,4.6947
