time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,599.9401,4.8678,250.0018,0.0000,180.0000,0.0000
0.000,599.9401,4.8678,250.0018,0.0000,180.0000,0.0000
0.106,599.8125,4.6292,250.0046,0.0000,180.0000,0.0000
0.220,599.6584,4.3500,250.0067,0.0000,180.0000,0.0000
0.332,599.4226,3.9291,250.0089,0.0000,180.0000,0.0000
0.444,599.1370,3.4245,250.0109,0.0000,180.0000,0.0000
0.556,598.8652,2.9470,250.0124,0.0000,180.0000,0.0000
0.666,598.5027,2.3130,250.0135,0.0000,180.0000,0.0000
0.778,598.1755,1.7391,249.9996,0.0000,180.0000,0.0000
0.889,597.7601,1.0016,249.9303,0.0000,180.0000,0.0000
1.000,597.3987,0.3505,249.8158,0.0000,180.0000,0.0000
1.111,596.9499,-0.4699,249.6052,0.0000,180.0000,0.0000
1.222,596.4870,-1.3284,249.3167,0.0000,180.0000,0.0000
1.334,596.0919,-2.0697,249.0202,0.0000,180.0000,0.0000
1.445,595.6078,-2.9870,248.6026,0.0000,180.0000,0.0000
1.556,595.1973,-3.7722,248.2063,0.0000,180.0000,0.0000
1.667,594.6970,-4.7366,247.6774,0.0000,180.0000,0.0000
1.779,594.2745,-5.5568,247.1959,0.0000,180.0000,0.0000
1.890,593.8284,-6.3477,246.6545,357.5039,179.9422,2.6464
2.001,593.5709,-6.6692,246.3040,353.8382,179.6485,6.4686
2.112,593.4523,-6.6885,246.1037,352.0839,179.4199,8.2575
2.223,593.3752,-6.5240,245.9192,351.1532,179.2756,9.1853
2.334,593.3373,-6.3190,245.7841,351.0185,179.2533,9.3197
2.446,593.3004,-6.0770,245.6241,351.0185,179.2534,9.3197
2.557,593.2667,-5.9162,245.4846,351.0185,179.2534,9.3197
2.668,593.2180,-5.7878,245.3067,351.0185,179.2534,9.3197
2.779,593.1705,-5.7288,245.1505,351.2221,179.2868,9.1333
2.891,593.1070,-5.6976,244.9570,351.6154,179.3494,8.7340
3.001,593.0390,-5.6883,244.7637,351.8938,179.3918,8.4088
3.112,592.9805,-5.6845,244.6058,352.1530,179.4297,8.0672
3.223,592.9092,-5.6752,244.4214,352.4581,179.4722,7.6445
3.333,592.8492,-5.6606,244.2717,352.6589,179.4989,7.3625
3.444,592.7763,-5.6353,244.0960,352.9829,179.5398,6.9147
3.555,592.7146,-5.6096,243.9520,353.2632,179.5731,6.5388
3.667,592.6388,-5.5766,243.7814,353.6040,179.6111,6.1010
3.778,592.5743,-5.5492,243.6399,353.8938,179.6413,5.7476
3.890,592.4948,-5.5182,243.4696,354.2496,179.6760,5.3390
4.000,592.4136,-5.4900,243.2985,354.6139,179.7090,4.9523
4.112,592.3444,-5.4683,243.1553,354.8609,179.7299,4.7109
4.223,592.2599,-5.4443,242.9830,355.2589,179.7616,4.3680
4.334,592.1883,-5.4255,242.8389,355.5294,179.7818,4.1618
4.460,592.1016,-5.4042,242.6655,355.9517,179.8116,3.8878
4.571,592.0134,-5.3842,242.4919,356.3193,179.8360,3.6848
4.682,591.9243,-5.3652,242.3190,356.6215,179.8551,3.5356
4.794,591.8494,-5.3503,242.1754,357.0216,179.8792,3.3523
4.904,591.7584,-5.3335,242.0034,357.3284,179.8968,3.2155
5.015,591.6819,-5.3204,241.8601,357.7287,179.9187,3.0313
5.126,591.5893,-5.3056,241.6880,358.1970,179.9425,2.7953
5.237,591.5114,-5.2940,241.5442,358.4959,179.9567,2.6188
5.348,591.4149,-5.2812,241.3882,358.9424,179.9759,2.3101
5.459,591.3298,-5.2714,241.3184,359.3168,179.9901,2.0261
5.570,591.2267,-5.2593,241.3198,359.8414,180.0070,1.6700
5.681,591.1244,-5.2441,241.3948,0.5104,180.0243,1.3138
5.793,591.0400,-5.2275,241.4966,1.1868,180.0381,1.0202
