time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.098,599.9802,5.0162,250.0146,358.1149,180.0043,359.7200
0.200,599.9177,5.0561,250.1460,355.0186,180.0374,358.9964
0.312,599.8492,5.0631,250.3589,352.9782,180.0853,358.3123
0.414,599.7711,5.0261,250.6260,351.2390,180.1466,357.6934
0.526,599.6695,4.9200,250.9768,349.3113,180.2353,357.1472
0.646,599.5630,4.7583,251.3347,347.5135,180.3319,356.8683
0.761,599.4532,4.5601,251.6887,345.9093,180.4229,356.8519
0.882,599.3409,4.3439,252.0369,344.5645,180.4974,357.0545
1.002,599.2264,4.1229,252.3814,343.5097,180.5507,357.4162
1.104,599.1298,3.9412,252.6672,342.8518,180.5796,357.7930
1.218,599.0325,3.7640,252.9530,342.3827,180.5969,358.1999
1.337,598.9147,3.5582,253.2968,342.0431,180.6068,358.6820
1.456,598.7968,3.3591,253.6419,341.9756,180.6083,358.9164
1.573,598.6790,3.1652,253.9881,341.9650,180.6085,358.9960
1.691,598.5615,2.9747,254.3348,341.9891,180.6081,359.1604
1.807,598.4442,2.7853,254.6814,342.0444,180.6074,359.3133
1.926,598.3270,2.5932,255.0270,342.0444,180.6074,359.3133
2.042,598.2098,2.3934,255.3709,341.9236,180.6087,359.4393
2.161,598.0919,2.1816,255.7117,341.2307,180.6138,359.7103
2.270,597.9933,1.9949,255.9926,340.3824,180.6176,359.7856
2.379,597.8942,1.7999,256.2700,339.4347,180.6215,359.7478
2.485,597.7751,1.5565,256.5985,338.3570,180.6281,359.5760
2.593,597.6758,1.3481,256.8691,337.6415,180.6353,359.3284
2.703,597.5568,1.0947,257.1915,337.1289,180.6435,358.8988
2.810,597.4577,0.8840,257.4595,337.0587,180.6450,358.4309
2.918,597.3588,0.6768,257.7285,337.3553,180.6343,357.8729
3.024,597.2402,0.4372,258.0549,338.2321,180.5923,357.1106
3.130,597.1409,0.2494,258.3315,339.4168,180.5202,356.4276
3.237,597.0408,0.0765,258.6135,341.0235,180.4027,355.7318
3.341,596.9184,-0.1052,258.9597,343.5062,180.1887,354.9203
3.444,596.8140,-0.2303,259.2543,346.0174,179.9425,354.2939
3.552,596.7061,-0.3277,259.5529,348.8882,179.6336,353.7380
3.657,596.5943,-0.3949,259.8531,352.0485,179.2682,353.2733
3.765,596.4548,-0.4344,260.2109,356.0801,178.7741,352.8585
3.875,596.3344,-0.4344,260.5030,359.4916,178.3392,352.6452
3.981,596.1859,-0.3994,260.8416,3.4494,177.8241,352.5597
4.086,596.0602,-0.3456,261.1118,6.4959,177.4261,352.6352
4.192,595.9340,-0.2739,261.3700,9.2203,177.0751,352.8449
4.299,595.8085,-0.1877,261.6166,11.5729,176.7814,353.1859
4.406,595.6601,-0.0693,261.8983,13.8844,176.5092,353.7598
4.530,595.5157,0.0622,262.1667,15.6610,176.3193,354.4994
4.638,595.3995,0.1801,262.3820,16.7748,176.2146,355.2298
4.743,595.2658,0.3304,262.6323,17.7377,176.1386,356.2276
4.852,595.1600,0.4622,262.8355,18.2868,176.1048,357.1480
4.959,595.0598,0.5994,263.0350,18.6585,176.0885,358.1383
5.064,594.9475,0.7707,263.2707,18.9366,176.0818,359.4038
5.168,594.8613,0.9186,263.4646,19.0793,176.0816,0.5085
5.273,594.7819,1.0709,263.6566,19.1805,176.0836,1.6434
5.382,594.6960,1.2591,263.8849,19.2885,176.0883,3.0202
5.492,594.6326,1.4203,264.0733,19.3932,176.0953,4.1538
5.605,594.5662,1.6188,264.2968,19.5728,176.1115,5.4538
5.706,594.5186,1.7878,264.4804,19.7909,176.1358,6.4507
5.819,594.4775,1.9593,264.6614,20.0603,176.1705,7.3357
5.932,594.4352,2.1670,264.8752,20.3800,176.2171,8.2090
6.043,594.3986,2.3748,265.0868,20.5871,176.2501,8.8400
6.152,594.3706,2.5467,265.2628,20.6030,176.2527,8.9195
6.259,594.3426,2.7157,265.4403,20.6030,176.2527,8.9195
6.368,594.3075,2.9121,265.6587,19.9724,176.1465,8.9727
6.473,594.2753,3.0683,265.8481,19.1610,176.0122,8.7364
6.581,594.2300,3.2429,266.0883,17.8300,175.8040,8.1114
6.685,594.1847,3.3735,266.3022,16.3927,175.6000,7.3232
6.796,594.1313,3.4863,266.5310,14.6392,175.3824,6.3030
6.896,594.0685,3.5764,266.7760,12.5692,175.1704,5.0597
7.003,593.9802,3.6474,267.0925,9.6997,174.9566,3.2916
7.106,593.8965,3.6705,267.3738,7.0513,174.8417,1.6141
7.217,593.8055,3.6577,267.6685,4.2666,174.8071,359.7888
7.325,593.6895,3.5950,268.0351,0.9228,174.8863,357.4738
7.430,593.5900,3.5068,268.3467,358.3032,175.0462,355.5120
7.541,593.4695,3.3659,268.7231,355.5672,175.3154,353.2136
7.646,593.3698,3.2277,269.0359,353.7579,175.5598,351.4125
7.758,593.2706,3.0781,269.3468,352.4564,175.7762,349.7623
7.869,593.1512,2.8929,269.7174,351.6164,175.9410,348.0163
7.978,593.0505,2.7407,270.0246,351.5272,175.9602,346.7637
8.087,592.9262,2.5678,270.3921,352.1323,175.8075,345.4862
8.197,592.8182,2.4371,270.6979,353.1949,175.5203,344.5796
8.301,592.6814,2.3017,271.0645,355.0750,174.9808,343.6307
8.410,592.5602,2.2108,271.3688,357.0776,174.3770,342.9203
8.519,592.4315,2.1424,271.6704,359.3923,173.6504,342.2619
8.627,592.2669,2.0908,272.0263,2.4334,172.6554,341.5320
8.737,592.1218,2.0722,272.3155,5.0373,171.7696,340.9807
8.847,591.9399,2.0751,272.6514,8.0344,170.7125,340.4104
8.954,591.7837,2.0938,272.9218,10.2601,169.9017,340.0349
9.061,591.5930,2.1289,273.2363,12.4116,169.0976,339.7327
9.172,591.4335,2.1639,273.4926,13.6466,168.6279,339.6157
9.274,591.2745,2.2006,273.7466,14.3320,168.3652,339.6066
9.385,591.0854,2.2425,274.0520,14.3320,168.3652,339.6066
9.490,590.9296,2.2725,274.3094,14.3320,168.3652,339.6066
9.666,590.6557,2.3047,274.7858,13.0455,168.8543,339.7879
9.778,590.5084,2.3039,275.0609,11.8699,169.2977,339.7656
9.892,590.3379,2.2784,275.4029,10.0439,169.9860,339.5963
10.001,590.1757,2.2205,275.7580,7.8028,170.8370,339.2690
10.115,590.0482,2.1444,276.0625,5.6884,171.6508,338.8865
10.228,589.9054,2.0190,276.4346,2.9933,172.7093,338.3333
10.340,589.7946,1.8881,276.7468,0.7535,173.6107,337.8454
10.440,589.6907,1.7371,277.0579,358.6516,174.4763,337.3970
10.547,589.5729,1.5369,277.4268,356.4713,175.3941,337.0092
10.650,589.4778,1.3612,277.7292,355.0485,176.0016,336.8945
10.761,589.3634,1.1492,278.0866,353.9158,176.4857,337.1034
10.862,589.2649,0.9795,278.3814,353.5071,176.6578,337.6288
10.975,589.1610,0.8233,278.6752,353.6231,176.6115,338.5160
11.086,589.0266,0.6642,279.0284,354.4924,176.2826,340.0927
11.245,588.8292,0.5217,279.5026,356.9229,175.4737,343.0694
11.365,588.6701,0.4823,279.8578,359.6470,174.7179,345.8912
11.473,588.5355,0.4991,280.1492,2.3904,174.0954,348.5313
11.593,588.3796,0.5768,280.4864,6.0141,173.4686,351.8846
11.711,588.2385,0.7073,280.8042,9.6683,173.0521,355.2362
11.826,588.1188,0.8753,281.0996,13.0131,172.8615,358.3870
11.929,588.0367,1.0334,281.3293,15.3847,172.8426,0.7526
12.033,587.9700,1.2009,281.5460,17.2993,172.9045,2.8294
12.145,587.9076,1.4084,281.7928,18.9757,173.0230,4.9169
12.256,587.8677,1.5837,281.9902,19.8883,173.1178,6.3249
12.358,587.8364,1.7598,282.1832,20.4178,173.1856,7.4499
12.467,587.8074,1.9713,282.4119,20.6473,173.2193,8.4582
12.580,587.7846,2.1825,282.6401,20.5737,173.2069,9.1296
12.690,587.7686,2.3589,282.8308,20.5121,173.1962,9.2845
12.791,587.7537,2.5362,283.0214,20.5121,173.1962,9.2845
12.892,587.7391,2.7154,283.2109,20.5121,173.1962,9.2845
13.001,587.7217,2.9341,283.4350,20.6756,173.2247,9.1977
13.104,587.7061,3.1199,283.6164,21.3024,173.3313,8.8439
13.211,587.6887,3.3082,283.7906,22.1397,173.4675,8.3393
13.319,587.6685,3.4985,283.9568,23.0835,173.6118,7.7181
13.431,587.6392,3.7283,284.1450,24.2266,173.7716,6.8489
13.542,587.6027,3.9582,284.3219,25.2561,173.8983,5.8723
