time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.098,598.9744,5.3763,250.4768,0.2510,3.8000,-0.4500,358.1149,180.0043,359.7200
0.200,598.9075,5.3780,250.6264,0.2510,3.8000,-0.4500,355.0186,180.0374,358.9964
0.312,598.8352,5.3557,250.8499,0.2510,3.8000,-0.4500,352.9782,180.0853,358.3123
0.414,598.7539,5.2929,251.1251,0.2510,3.8000,-0.4500,351.2390,180.1466,357.6934
0.526,598.6499,5.1603,251.4843,0.2510,3.8000,-0.4500,349.3113,180.2353,357.1472
0.646,598.5428,4.9779,251.8502,0.2510,3.8000,-0.4500,347.5135,180.3319,356.8683
0.761,598.4337,4.7651,252.2117,0.2510,3.8000,-0.4500,345.9093,180.4229,356.8519
0.882,598.3232,4.5402,252.5668,0.2510,3.8000,-0.4500,344.5645,180.4974,357.0545
1.002,598.2114,4.3158,252.9176,0.2510,3.8000,-0.4500,343.5097,180.5507,357.4162
1.104,598.1174,4.1344,253.2080,0.2510,3.8000,-0.4500,342.8518,180.5796,357.7930
1.218,598.0226,3.9597,253.4979,0.2510,3.8000,-0.4500,342.3827,180.5969,358.1999
1.337,597.9080,3.7589,253.8456,0.2510,3.8000,-0.4500,342.0431,180.6068,358.6820
1.456,597.7916,3.5631,254.1922,0.2510,3.8000,-0.4500,341.9756,180.6083,358.9164
1.573,597.6743,3.3705,254.5389,0.2510,3.8000,-0.4500,341.9650,180.6085,358.9960
1.691,597.5578,3.1829,254.8864,0.2510,3.8000,-0.4500,341.9891,180.6081,359.1604
1.807,597.4415,2.9966,255.2336,0.2510,3.8000,-0.4500,342.0444,180.6074,359.3133
1.926,597.3243,2.8045,255.5792,0.2510,3.8000,-0.4500,342.0444,180.6074,359.3133
2.042,597.2079,2.6057,255.9242,0.2510,3.8000,-0.4500,341.9236,180.6087,359.4393
2.161,597.0919,2.3917,256.2692,0.2510,3.8000,-0.4500,341.2307,180.6138,359.7103
2.270,596.9938,2.1983,256.5536,0.2510,3.8000,-0.4500,340.3824,180.6176,359.7856
2.379,596.8946,1.9934,256.8341,0.2510,3.8000,-0.4500,339.4347,180.6215,359.7478
2.485,596.7745,1.7368,257.1652,0.2510,3.8000,-0.4500,338.3570,180.6281,359.5760
2.593,596.6737,1.5174,257.4365,0.2510,3.8000,-0.4500,337.6415,180.6353,359.3284
2.703,596.5520,1.2521,257.7576,0.2510,3.8000,-0.4500,337.1289,180.6435,358.8988
2.810,596.4500,1.0331,258.0226,0.2510,3.8000,-0.4500,337.0587,180.6450,358.4309
2.918,596.3475,0.8196,258.2870,0.2510,3.8001,-0.4500,337.3553,180.6343,357.8729
3.024,596.2239,0.5758,258.6053,0.2510,3.8000,-0.4500,338.2321,180.5923,357.1106
3.130,596.1201,0.3877,258.8734,0.2510,3.8000,-0.4500,339.4168,180.5202,356.4276
3.237,596.0150,0.2179,259.1452,0.2510,3.8000,-0.4500,341.0235,180.4027,355.7318
3.341,595.8864,0.0447,259.4768,0.2510,3.8000,-0.4500,343.5062,180.1887,354.9203
3.444,595.7767,-0.0690,259.7572,0.2510,3.8000,-0.4500,346.0174,179.9425,354.2939
3.552,595.6635,-0.1513,260.0395,0.2510,3.8000,-0.4500,348.8882,179.6336,353.7380
3.657,595.5466,-0.1999,260.3214,0.2510,3.8000,-0.4500,352.0485,179.2682,353.2733
3.765,595.4017,-0.2135,260.6547,0.2510,3.8000,-0.4500,356.0801,178.7741,352.8585
3.875,595.2773,-0.1901,260.9247,0.2510,3.8000,-0.4500,359.4916,178.3392,352.6452
3.981,595.1254,-0.1260,261.2360,0.2510,3.8000,-0.4500,3.4494,177.8241,352.5597
4.086,594.9980,-0.0481,261.4835,0.2510,3.8000,-0.4500,6.4959,177.4261,352.6352
4.192,594.8712,0.0470,261.7200,0.2510,3.8000,-0.4500,9.2203,177.0751,352.8449
4.299,594.7463,0.1555,261.9465,0.2510,3.8000,-0.4500,11.5729,176.7814,353.1859
4.406,594.6000,0.2994,262.2068,0.2510,3.8000,-0.4500,13.8844,176.5092,353.7598
4.530,594.4592,0.4552,262.4567,0.2510,3.8000,-0.4500,15.6610,176.3193,354.4994
4.638,594.3468,0.5926,262.6588,0.2510,3.8000,-0.4500,16.7748,176.2146,355.2298
4.743,594.2189,0.7657,262.8956,0.2510,3.8000,-0.4500,17.7377,176.1386,356.2276
4.852,594.1187,0.9163,263.0893,0.2510,3.8000,-0.4500,18.2868,176.1048,357.1480
4.959,594.0248,1.0723,263.2803,0.2510,3.8000,-0.4500,18.6585,176.0885,358.1383
5.064,593.9211,1.2662,263.5069,0.2510,3.8000,-0.4500,18.9366,176.0818,359.4038
5.168,593.8427,1.4332,263.6937,0.2510,3.8000,-0.4500,19.0793,176.0816,0.5085
5.273,593.7717,1.6047,263.8789,0.2510,3.8000,-0.4500,19.1805,176.0836,1.6434
5.382,593.6965,1.8159,264.0992,0.2510,3.8000,-0.4500,19.2885,176.0883,3.0202
5.492,593.6423,1.9959,264.2808,0.2510,3.8000,-0.4500,19.3932,176.0953,4.1538
5.605,593.5871,2.2159,264.4962,0.2510,3.8000,-0.4500,19.5728,176.1115,5.4538
5.706,593.5485,2.4016,264.6729,0.2510,3.7999,-0.4500,19.7909,176.1358,6.4507
5.819,593.5157,2.5881,264.8470,0.2510,3.8000,-0.4500,20.0603,176.1705,7.3357
5.932,593.4819,2.8106,265.0537,0.2510,3.8000,-0.4500,20.3800,176.2171,8.2090
6.043,593.4516,3.0290,265.2602,0.2510,3.8001,-0.4500,20.5871,176.2501,8.8400
6.152,593.4243,3.2021,265.4356,0.2510,3.8000,-0.4500,20.6030,176.2527,8.9195
6.259,593.3963,3.3712,265.6132,0.2510,3.8000,-0.4500,20.6030,176.2527,8.9195
6.368,593.3610,3.5658,265.8367,0.2510,3.8000,-0.4500,19.9724,176.1465,8.9727
6.473,593.3254,3.7149,266.0342,0.2510,3.8000,-0.4500,19.1610,176.0122,8.7364
6.581,593.2724,3.8736,266.2886,0.2510,3.8000,-0.4500,17.8300,175.8040,8.1114
6.685,593.2179,3.9849,266.5179,0.2510,3.7999,-0.4500,16.3927,175.6000,7.3232
6.796,593.1531,4.0721,266.7650,0.2510,3.8001,-0.4500,14.6392,175.3824,6.3030
6.896,593.0769,4.1302,267.0310,0.2510,3.8000,-0.4500,12.5692,175.1704,5.0597
7.003,592.9709,4.1540,267.3748,0.2510,3.8000,-0.4500,9.6997,174.9566,3.2916
7.106,592.8719,4.1308,267.6794,0.2510,3.8000,-0.4500,7.0513,174.8417,1.6141
7.217,592.7662,4.0665,267.9966,0.2510,3.8000,-0.4500,4.2666,174.8071,359.7888
7.325,592.6342,3.9376,268.3869,0.2510,3.8000,-0.4500,0.9228,174.8863,357.4738
7.430,592.5236,3.7936,268.7147,0.2510,3.8000,-0.4500,358.3032,175.0462,355.5120
7.541,592.3929,3.5891,269.1051,0.2510,3.8000,-0.4500,355.5672,175.3154,353.2136
7.646,592.2869,3.4032,269.4251,0.2510,3.8000,-0.4500,353.7579,175.5598,351.4125
