time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,599.7252,4.4699,250.0081,0.0000,180.0000,0.0000
0.000,599.7252,4.4699,250.0081,0.0000,180.0000,0.0000
0.109,599.5477,4.1506,250.0127,0.0000,180.0000,0.0000
0.218,599.2866,3.6866,250.0176,0.0000,180.0000,0.0000
0.325,599.0361,3.2393,250.0499,0.0000,180.0000,0.0000
0.432,598.7796,2.7668,250.1947,355.7515,179.8600,3.7387
0.537,598.5526,2.3142,250.4663,349.5907,179.1735,8.7363
0.641,598.4155,2.0542,250.7485,346.6519,178.6583,10.6108
0.746,598.3090,1.8924,251.0646,345.1511,178.3609,11.0180
0.852,598.2201,1.7993,251.4004,344.4149,178.2139,10.6812
0.956,598.1237,1.7324,251.8129,344.0013,178.1354,9.8847
1.064,598.0447,1.6831,252.1551,343.8473,178.1085,9.1123
1.165,597.9636,1.6216,252.4911,343.7987,178.1006,8.3136
1.268,597.8792,1.5406,252.8190,343.8333,178.1055,7.5122
1.371,597.7916,1.4393,253.1395,343.9392,178.1192,6.7223
1.475,597.6830,1.2968,253.5164,344.1432,178.1424,5.8117
1.579,597.5908,1.1671,253.8264,344.3612,178.1640,5.1044
1.682,597.4976,1.0333,254.1346,344.6078,178.1853,4.4623
1.782,597.4039,0.8998,254.4424,344.8699,178.2052,3.9009
1.886,597.3101,0.7693,254.7506,345.1374,178.2229,3.4333
1.996,597.1973,0.6186,255.1214,345.3505,178.2355,3.1343
2.101,597.1029,0.4986,255.4312,345.4733,178.2423,3.0254
2.206,597.0087,0.3835,255.7417,345.6151,178.2499,2.9332
2.311,596.9146,0.2734,256.0529,345.9637,178.2682,2.8910
2.416,596.8027,0.1478,256.4277,346.4843,178.2957,3.0415
2.520,596.7106,0.0498,256.7412,346.9165,178.3205,3.3704
2.625,596.6196,-0.0406,257.0557,347.3960,178.3515,3.8750
2.732,596.5303,-0.1213,257.3713,347.9689,178.3947,4.5474
2.839,596.4265,-0.2021,257.7514,348.8315,178.4726,5.5661
2.944,596.3437,-0.2533,258.0690,349.7271,178.5697,6.5806
3.051,596.2656,-0.2873,258.3867,350.7958,178.7059,7.7308
3.154,596.1794,-0.3034,258.7664,352.2933,178.9323,9.2629
3.258,596.1156,-0.2958,259.0798,353.6779,179.1770,10.6365
3.362,596.0598,-0.2699,259.3889,355.1159,179.4670,12.0650
3.470,596.0125,-0.2284,259.6920,356.5096,179.7840,13.5125
3.574,595.9664,-0.1637,260.0468,357.9484,180.1522,15.2197
3.677,595.9359,-0.1027,260.3353,358.7941,180.3925,16.5695
3.782,595.9109,-0.0400,260.6187,359.2272,180.5257,17.8089
3.902,595.8862,0.0325,260.9549,359.2101,180.5189,19.0977
4.010,595.8679,0.0873,261.2341,358.8147,180.3781,19.9718
4.114,595.8465,0.1434,261.5710,357.9845,180.0690,20.7514
4.217,595.8271,0.1803,261.8550,357.0750,179.7199,21.1668
4.323,595.8050,0.2070,262.1431,356.0369,179.3147,21.3709
4.428,595.7791,0.2229,262.4358,354.9338,178.8813,21.3739
4.530,595.7489,0.2282,262.7334,353.8295,178.4488,21.1932
4.634,595.7067,0.2213,263.0966,352.5928,177.9706,20.7686
4.741,595.6667,0.2064,263.4040,351.7106,177.6370,20.2787
4.847,595.6235,0.1855,263.7149,351.0292,177.3859,19.7054
4.950,595.5777,0.1617,264.0290,350.6055,177.2345,19.0911
5.056,595.5214,0.1343,264.4091,350.5058,177.1997,18.3628
5.157,595.4749,0.1171,264.7276,350.8058,177.2987,17.8144
5.258,595.4302,0.1097,265.0466,351.4755,177.5131,17.3603
5.361,595.3887,0.1157,265.3647,352.5154,177.8377,17.0302
5.465,595.3516,0.1385,265.6797,353.9041,178.2631,16.8420
5.569,595.3198,0.1804,265.9893,355.5978,178.7770,16.7995
5.670,595.2940,0.2424,266.2905,357.5327,179.3636,16.8929
5.778,595.2717,0.3432,266.6369,0.0626,180.1379,17.1559
5.887,595.2603,0.4474,266.9099,2.2438,180.8178,17.4717
5.991,595.2550,0.5678,267.1663,4.4010,181.5056,17.8472
6.094,595.2555,0.7294,267.4508,6.8539,182.3107,18.3398
6.197,595.2609,0.8751,267.6683,8.7189,182.9422,18.7566
6.308,595.2698,1.0283,267.8686,10.3829,183.5218,19.1564
6.413,595.2844,1.2190,268.0883,12.0922,184.1345,19.5892
6.516,595.2986,1.3819,268.2560,13.2764,184.5702,19.8953
6.619,595.3144,1.5472,268.4117,14.2530,184.9366,20.1420
6.722,595.3311,1.7140,268.5574,15.0385,185.2359,20.3233
6.828,595.3481,1.8815,268.6949,15.6523,185.4723,20.4352
6.928,595.3648,2.0492,268.8262,16.1150,185.6518,20.4755
7.031,595.3811,2.2165,268.9532,16.1912,185.6815,20.4749
7.132,595.3964,2.3833,269.0780,16.1912,185.6815,20.4748
7.233,595.4100,2.5492,269.2013,16.5050,185.8029,20.2330
7.335,595.4231,2.7462,269.3481,16.6498,185.8582,19.9428
7.436,595.4304,2.9081,269.4709,16.7221,185.8853,19.4719
7.539,595.4332,3.0673,269.5952,16.6760,185.8687,18.9021
7.642,595.4307,3.2228,269.7227,16.4953,185.8056,18.2052
7.746,595.4218,3.3730,269.8552,16.1486,185.6899,17.3429
7.854,595.4005,3.5437,270.0240,15.4568,185.4747,16.0318
7.957,595.3720,3.6744,270.1760,14.5971,185.2306,14.6579
8.062,595.3320,3.7903,270.3415,13.4259,184.9339,12.9796
8.166,595.2786,3.8857,270.5233,11.8894,184.6004,10.9504
8.269,595.2107,3.9533,270.7239,9.9360,184.2592,8.5279
