time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.096,598.9960,5.3238,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.205,598.9960,5.1423,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.308,598.9960,4.9058,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.408,598.9960,4.5996,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.509,598.9960,4.2304,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.624,598.9960,3.7342,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.739,598.9960,3.4153,250.4530,0.2510,3.8000,-0.4500,0.0859,180.0000,0.0011
0.857,598.9958,3.2003,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
0.975,598.9958,3.1408,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
1.090,598.9958,3.1819,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
1.205,598.9958,3.2643,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
1.321,598.9958,3.3445,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
1.438,598.9958,3.3927,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
1.553,598.9958,3.4232,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
1.668,598.9958,3.4286,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0039
1.784,598.9958,3.4186,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0039
1.897,598.9958,3.4055,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
2.014,598.9958,3.3901,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
2.130,598.9958,3.3785,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0039
2.246,598.9958,3.3718,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0039
2.354,598.9958,3.3691,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
2.459,598.9958,3.3683,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
2.565,598.9958,3.3682,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0000,0.0040
2.670,598.9958,3.3681,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0039
2.775,598.9958,3.3675,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0039
2.878,598.9958,3.3664,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0039
2.983,598.9958,3.3643,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0039
3.090,598.9958,3.3620,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.196,598.9958,3.3595,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.307,598.9958,3.3563,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.418,598.9958,3.3536,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.529,598.9958,3.3505,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.629,598.9958,3.3479,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.738,598.9958,3.3454,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.850,598.9958,3.3424,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0001,0.0038
3.961,598.9958,3.3393,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0038
4.069,598.9958,3.3367,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0038
4.179,598.9958,3.3341,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0038
4.288,598.9958,3.3309,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0038
4.398,598.9958,3.3282,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0038
4.505,598.9958,3.3249,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0037
4.617,598.9958,3.3221,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0037
4.726,598.9958,3.3188,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0037
4.837,598.9958,3.3160,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0037
4.942,598.9958,3.3126,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0037
5.048,598.9958,3.3098,250.4621,0.2510,3.8000,-0.4500,0.3507,180.0002,0.0037
