time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,600.0000,4.8359,250.0000,0.0000,180.0000,0.0000
0.000,600.0000,4.8359,250.0000,0.0000,180.0000,0.0000
0.104,600.0000,4.6292,250.0000,0.0000,180.0000,0.0000
0.209,600.0000,4.3500,250.0000,0.0000,180.0000,0.0000
0.311,600.0000,4.0053,250.0000,0.0000,180.0000,0.0000
0.420,600.0000,3.5139,250.0000,0.0000,180.0000,0.0000
0.527,600.0000,3.0463,250.0000,0.0000,180.0000,0.0000
0.628,600.0000,2.5313,250.0000,0.0000,180.0000,0.0000
0.737,600.0000,1.8570,250.0000,0.0000,180.0000,0.0000
0.846,600.0000,1.2530,250.0000,0.0000,180.0000,0.0000
0.955,600.0000,0.4832,250.0000,0.0000,180.0000,0.0000
1.056,600.0000,-0.1921,250.0000,0.0000,180.0000,0.0000
1.162,600.0000,-0.8948,250.0000,0.0000,180.0000,0.0000
1.270,599.9998,-1.5341,249.9764,359.4267,180.0000,0.0040
1.376,599.9992,-2.0167,249.8938,357.4479,179.9996,0.0192
1.478,599.9988,-2.1860,249.8447,356.3204,179.9991,0.0299
1.582,599.9985,-2.2106,249.8152,355.6969,179.9987,0.0380
1.687,599.9985,-2.1594,249.8107,355.6969,179.9987,0.0380
1.796,599.9985,-2.0748,249.8052,355.6969,179.9987,0.0379
1.903,599.9985,-2.0269,249.8006,355.6969,179.9987,0.0379
2.012,599.9985,-2.0169,249.7960,355.6969,179.9987,0.0379
2.119,599.9985,-2.0557,249.7904,355.6969,179.9987,0.0380
2.222,599.9985,-2.1209,249.7857,355.6969,179.9987,0.0380
2.332,599.9985,-2.2038,249.7811,355.6969,179.9987,0.0380
2.435,599.9985,-2.3123,249.7757,355.6969,179.9987,0.0379
2.546,599.9985,-2.4012,249.7711,355.6969,179.9987,0.0379
2.655,599.9985,-2.5002,249.7656,355.6969,179.9987,0.0379
2.759,599.9985,-2.5749,249.7611,355.6969,179.9987,0.0379
2.860,599.9985,-2.6436,249.7567,355.6969,179.9987,0.0379
2.964,599.9985,-2.7077,249.7522,355.6969,179.9987,0.0379
3.070,599.9985,-2.7691,249.7479,355.6969,179.9987,0.0379
3.175,599.9985,-2.8411,249.7427,355.6969,179.9987,0.0379
3.281,599.9985,-2.9009,249.7385,355.6969,179.9987,0.0379
3.387,599.9985,-2.9607,249.7343,355.6969,179.9987,0.0379
3.492,599.9985,-3.0206,249.7302,355.6969,179.9987,0.0379
3.596,599.9985,-3.0922,249.7253,355.6969,179.9987,0.0379
3.705,599.9985,-3.1513,249.7214,355.6969,179.9987,0.0379
3.809,599.9985,-3.2095,249.7175,355.6969,179.9987,0.0379
3.919,599.9985,-3.2779,249.7129,355.6969,179.9987,0.0379
4.031,599.9985,-3.3335,249.7092,355.6969,179.9987,0.0379
4.138,600.0037,-3.3989,249.7142,355.9263,179.9986,359.9135
4.241,600.0053,-3.4520,249.7139,356.0009,179.9985,359.8737
4.601,600.0201,-3.6332,249.7308,356.6781,179.9950,359.5374
4.720,600.0219,-3.6901,249.7308,356.7502,179.9944,359.5022
4.827,600.0269,-3.7364,249.7380,356.9828,179.9921,359.3883
4.930,600.0305,-3.7815,249.7421,357.1326,179.9904,359.3148
5.040,600.0360,-3.8340,249.7492,357.3638,179.9874,359.2000
5.148,600.0381,-3.8764,249.7506,357.4395,179.9863,359.1624
5.249,600.0452,-3.9177,249.7617,357.7500,179.9814,359.0069
5.358,600.0475,-3.9654,249.7632,357.8280,179.9800,358.9677
5.461,600.0546,-4.0039,249.7747,358.1385,179.9740,358.8121
5.564,600.0568,-4.0410,249.7767,358.2138,179.9724,358.7747
5.676,600.0621,-4.0837,249.7850,358.4420,179.9673,358.6620
5.780,600.0686,-4.1177,249.7966,358.7423,179.9599,358.5176
5.881,600.0707,-4.1502,249.7990,358.8163,179.9580,358.4833
5.985,600.0742,-4.1811,249.8046,358.9663,179.9539,358.4145
6.088,600.0789,-4.2103,249.8135,359.1935,179.9474,358.3161
6.198,600.0834,-4.2430,249.8227,359.4247,179.9404,358.2232
6.300,600.0852,-4.2680,249.8257,359.5018,179.9380,358.1936
6.405,600.0892,-4.2910,249.8353,359.7389,179.9304,358.1149
6.507,600.0918,-4.3115,249.8418,359.8976,179.9251,358.0673
6.608,600.0947,-4.3297,249.8520,0.1447,179.9166,358.0115
6.708,600.0959,-4.3452,249.8553,0.2254,179.9138,357.9949
6.809,600.0975,-4.3579,249.8660,0.4818,179.9048,357.9649
6.918,600.0981,-4.3693,249.8695,0.5654,179.9018,357.9570
7.020,600.0984,-4.3752,249.8834,0.9017,179.8898,357.9550
7.121,600.0984,-4.3781,249.8835,0.9017,179.8898,357.9550
7.230,600.0967,-4.3772,249.8975,1.2437,179.8777,357.9955
7.335,600.0950,-4.3718,249.9043,1.4117,179.8718,358.0327
7.447,600.0921,-4.3629,249.9141,1.6555,179.8636,358.0942
7.551,600.0895,-4.3505,249.9202,1.8100,179.8585,358.1501
7.652,600.0865,-4.3340,249.9259,1.9625,179.8537,358.2093
7.752,600.0812,-4.3137,249.9346,2.1897,179.8468,358.3222
7.855,600.0773,-4.2839,249.9394,2.3345,179.8426,358.3991
