time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
5.867,593.4981,2.6979,264.9455,0.2510,3.8000,-0.4500,20.2216,176.2052,7.8066
5.975,593.4713,2.8822,265.1173,0.2510,3.7999,-0.4500,20.4620,176.2419,8.4551
6.083,593.4402,3.0962,265.3254,0.2510,3.7999,-0.4500,20.5825,176.2614,8.8485
6.195,593.4124,3.2673,265.5017,0.2510,3.7999,-0.4500,20.5825,176.2614,8.8485
6.306,593.3787,3.4679,265.7184,0.2510,3.8000,-0.4500,20.3232,176.2180,8.9402
6.421,593.3397,3.6551,265.9485,0.2510,3.7999,-0.4500,19.5124,176.0826,8.8510
6.525,593.2999,3.7959,266.1534,0.2510,3.8001,-0.4500,18.5487,175.9270,8.4736
6.626,593.2512,3.9196,266.3728,0.2510,3.8000,-0.4500,17.2982,175.7385,7.8380
6.741,593.1798,4.0396,266.6583,0.2510,3.8000,-0.4500,15.3888,175.4834,6.7574
6.857,593.1082,4.1103,266.9166,0.2510,3.8000,-0.4500,13.4470,175.2661,5.6047
6.964,593.0076,4.1519,267.2514,0.2510,3.8000,-0.4500,10.7143,175.0326,3.9361
7.077,592.9125,4.1451,267.5497,0.2510,3.8000,-0.4500,8.1505,174.8901,2.3295
7.186,592.7878,4.0831,267.9261,0.2510,3.8000,-0.4500,4.8480,174.8165,0.1886
7.300,592.6788,3.9873,268.2498,0.2510,3.8000,-0.4500,2.0433,174.8537,358.2804
7.407,592.5460,3.8258,268.6428,0.2510,3.8000,-0.4500,358.8248,175.0155,355.9282
7.514,592.4365,3.6615,268.9692,0.2510,3.8000,-0.4500,356.4326,175.2260,353.9910
7.622,592.3084,3.4425,269.3551,0.2510,3.8000,-0.4500,354.0906,175.5178,351.7841
7.727,592.2042,3.2524,269.6708,0.2510,3.8000,-0.4500,352.6783,175.7435,350.0993
7.833,592.1012,3.0637,269.9811,0.2510,3.8001,-0.4500,351.8064,175.9082,348.5874
7.940,591.9774,2.8481,270.3473,0.2510,3.7999,-0.4500,351.4931,175.9749,347.0164
8.044,591.8718,2.6833,270.6484,0.2510,3.8000,-0.4500,351.8329,175.8911,345.9019
8.147,591.7625,2.5362,270.9466,0.2510,3.8001,-0.4500,352.6924,175.6647,344.9411
8.256,591.6480,2.4095,271.2421,0.2510,3.7999,-0.4500,354.0330,175.2901,344.1021
