time_sec,angle_x,angle_y,angle_z
0.066,93.5026,-17.0969,-103.7533
0.196,93.4757,-17.0528,-103.7483
0.314,93.4085,-16.9577,-103.7305
0.444,93.3595,-16.6904,-103.7175
0.565,93.3564,-16.3869,-103.7106
0.692,93.3591,-15.9207,-103.7014
0.811,93.3779,-15.6127,-103.6976
0.938,-92.1351,-90.0000,166.7261
1.056,93.3691,-14.8058,-103.6822
1.175,93.3784,-14.4780,-103.6766
1.296,93.3604,-14.1593,-103.6563
1.415,93.3608,-13.6921,-103.6324
1.542,93.3527,-13.2251,-103.6193
1.660,93.3333,-12.9108,-103.6038
1.787,93.3289,-12.4401,-103.5949
1.905,93.3369,-12.1104,-103.5881
2.024,93.3430,-11.7696,-103.5743
2.145,93.3501,-11.4219,-103.5682
2.264,93.3472,-10.9730,-103.5468
2.391,93.3622,-10.6034,-103.5183
2.510,93.3605,-10.3341,-103.5045
2.636,93.3567,-9.8939,-103.4875
2.755,93.3395,-9.5837,-103.4617
2.873,93.3457,-9.2911,-103.4372
2.995,93.3420,-9.0086,-103.4094
3.113,93.3273,-8.6442,-103.3760
3.241,93.3276,-8.5065,-103.3671
3.359,93.3162,-8.5108,-103.3753
3.486,93.3305,-8.5091,-103.3765
3.604,93.3306,-8.5234,-103.3626
3.723,93.3391,-8.5296,-103.3640
3.844,93.3335,-8.5446,-103.3572
3.963,93.3392,-8.5553,-103.3422
4.090,93.3537,-8.5495,-103.3443
4.209,93.3510,-8.5813,-103.3329
4.335,93.3425,-8.6139,-103.3287
4.454,93.3365,-8.6188,-103.3350
4.572,93.3309,-8.6223,-103.3360
4.694,93.3392,-8.6256,-103.3436
4.812,93.3477,-8.6318,-103.3450
4.939,93.3423,-8.6311,-103.3468
5.058,93.3393,-8.6328,-103.3366
5.185,93.3422,-8.6425,-103.3390
5.303,93.3191,-8.7239,-103.3291
5.422,93.3079,-8.7811,-103.3205
5.543,93.3023,-8.8277,-103.3179
5.662,93.2824,-8.8514,-103.3029
5.789,93.2796,-8.8559,-103.2865
5.908,93.2770,-8.8562,-103.2709
6.035,93.2742,-8.8679,-103.2476
6.154,93.2658,-8.8688,-103.2391
6.272,93.2659,-8.8760,-103.2322
6.396,93.2688,-8.8857,-103.2346
6.515,93.2914,-8.8875,-103.2435
6.637,93.2970,-8.8969,-103.2615
6.757,93.3112,-8.9198,-103.2741
6.883,93.3398,-8.9482,-103.2810
7.002,93.3598,-8.9632,-103.2934
7.120,93.3885,-8.9916,-103.3004
7.253,93.4001,-9.0391,-103.3087
7.371,93.4232,-9.1314,-103.3315
7.493,93.4376,-9.1972,-103.3408
7.611,93.4810,-9.2699,-103.3398
7.746,93.5356,-9.2882,-103.3411
7.981,93.6046,-9.3509,-103.3727
8.099,93.6280,-9.3900,-103.3740
8.220,93.6400,-9.4375,-103.3827
