time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,600.0000,4.7210,250.0000,0.0000,180.0000,0.0000
0.000,600.0000,4.7210,250.0000,0.0000,180.0000,0.0000
0.117,600.0000,4.4113,250.0000,0.0000,180.0000,0.0000
0.232,600.0000,4.0053,250.0000,0.0000,180.0000,0.0000
0.348,600.0000,3.5139,250.0000,0.0000,180.0000,0.0000
0.457,600.0000,3.0463,250.0000,0.0000,180.0000,0.0000
0.559,600.0000,2.5313,250.0000,0.0000,180.0000,0.0000
0.660,600.0000,1.9733,250.0000,0.0000,180.0000,0.0000
0.761,600.0000,1.2530,250.0000,0.0000,180.0000,0.0000
0.864,600.0000,0.6146,250.0000,0.0000,180.0000,0.0000
0.969,600.0000,-0.0547,250.0000,0.0000,180.0000,0.0000
1.073,600.0000,-0.7522,250.0000,0.0000,180.0000,0.0000
1.176,599.9999,-1.4192,249.9881,359.7115,180.0000,0.0020
1.280,599.9995,-1.8935,249.9197,358.0664,179.9998,0.0142
1.382,599.9988,-2.1659,249.8524,356.4993,179.9992,0.0280
1.484,599.9985,-2.2139,249.8197,355.7915,179.9988,0.0365
1.588,599.9985,-2.1728,249.8113,355.6969,179.9987,0.0380
1.693,599.9985,-2.1017,249.8067,355.6969,179.9987,0.0380
1.796,599.9985,-2.0420,249.8022,355.6970,179.9988,0.0380
1.899,599.9985,-2.0160,249.7976,355.6970,179.9988,0.0380
2.005,599.9985,-2.0372,249.7920,355.6970,179.9988,0.0380
2.108,599.9985,-2.0920,249.7873,355.6970,179.9988,0.0380
2.215,599.9985,-2.1692,249.7827,355.6970,179.9988,0.0380
2.317,599.9985,-2.2577,249.7781,355.6970,179.9989,0.0380
2.419,599.9985,-2.3483,249.7735,355.6970,179.9989,0.0380
2.523,599.9985,-2.4519,249.7681,355.6970,179.9989,0.0380
2.629,599.9985,-2.5309,249.7635,355.6970,179.9989,0.0380
2.734,599.9985,-2.6030,249.7590,355.6970,179.9989,0.0380
2.835,599.9985,-2.6696,249.7546,355.6970,179.9989,0.0380
2.937,599.9985,-2.7325,249.7502,355.6970,179.9989,0.0380
3.046,599.9985,-2.8052,249.7450,355.6970,179.9989,0.0380
3.155,599.9985,-2.8650,249.7407,355.6970,179.9989,0.0380
3.255,599.9985,-2.9248,249.7365,355.6970,179.9989,0.0380
3.358,599.9985,-2.9847,249.7324,355.6970,179.9989,0.0380
3.461,599.9985,-3.0565,249.7275,355.6970,179.9989,0.0380
3.563,599.9985,-3.1159,249.7235,355.6970,179.9989,0.0380
3.674,599.9985,-3.1747,249.7195,355.6969,179.9989,0.0380
3.778,599.9985,-3.2325,249.7157,355.6969,179.9989,0.0381
3.880,599.9985,-3.2891,249.7119,355.6969,179.9989,0.0381
3.980,599.9985,-3.3445,249.7081,355.6969,179.9989,0.0381
4.083,600.0052,-3.4097,249.7161,356.0009,179.9986,359.8738
