time_sec,angle_x,angle_y,angle_z
16.155,92.3868,-11.7812,-99.5363
16.282,92.4551,-11.8104,-99.5649
16.401,92.5262,-11.8609,-99.5887
16.528,92.6680,-12.2404,-99.6478
16.646,92.6330,-15.7371,-99.7528
16.764,92.7056,-19.2309,-99.8620
16.886,92.9562,-11.8379,-99.7261
17.004,93.0712,-12.2946,-99.7113
17.139,93.1724,-12.0023,-99.7436
17.259,93.2644,-12.0294,-99.7833
17.381,93.3393,-12.1084,-99.7970
17.508,93.4396,-12.2009,-99.8867
17.630,93.5008,-12.2407,-99.8954
17.749,93.6028,-12.3222,-99.8600
17.876,93.7948,-12.2909,-99.8692
17.994,93.8758,-12.2959,-99.8797
18.113,93.9485,-12.2784,-99.8960
18.234,94.0182,-12.2511,-99.9096
18.353,94.1029,-12.3078,-99.9155
18.480,94.1561,-12.4046,-99.9332
18.598,94.1706,-12.4278,-99.9468
18.725,94.2233,-12.4942,-99.9649
18.844,94.2555,-12.5017,-99.9715
18.962,94.2700,-12.4932,-99.9799
19.084,94.3047,-12.4442,-99.9848
19.202,94.3538,-12.3550,-99.9930
19.329,94.3860,-12.3814,-99.9859
19.448,94.4006,-12.3802,-99.9878
19.575,94.3978,-12.3733,-99.9790
19.693,94.3980,-12.3690,-99.9796
19.812,94.4122,-12.3576,-99.9940
19.933,94.4121,-12.3503,-100.0006
20.052,94.4322,-12.2951,-100.0101
20.179,94.4433,-12.2189,-100.0308
20.297,94.4288,-12.2201,-100.0289
20.424,94.4373,-12.2309,-100.0304
20.542,94.4435,-12.2262,-100.0242
20.661,94.4431,-12.2232,-100.0302
20.782,94.4344,-12.2167,-100.0282
20.901,94.4202,-12.2209,-100.0203
21.028,94.4198,-12.2179,-100.0263
21.147,94.4255,-12.2146,-100.0255
21.273,94.3642,-12.1734,-100.0106
21.392,94.2740,-12.1664,-99.9973
21.510,94.1918,-12.1715,-99.9908
21.632,94.1015,-12.1687,-99.9771
21.750,94.0000,-12.1915,-99.9511
21.877,93.8925,-12.1758,-99.9334
21.996,93.7671,-12.1527,-99.9169
22.123,93.6020,-12.1489,-99.8858
22.241,93.5300,-12.1649,-99.8643
22.360,93.4142,-12.1859,-99.8429
22.481,93.3417,-12.1960,-99.8335
22.600,93.1943,-12.1979,-99.8134
22.727,93.0527,-12.1964,-99.7927
22.846,92.9663,-12.2106,-99.7757
22.972,92.8166,-12.2372,-99.7521
23.091,92.7331,-12.2584,-99.7439
23.209,92.6757,-12.2775,-99.7238
23.331,92.6183,-12.2966,-99.7037
23.449,92.4949,-12.3455,-99.6797
23.576,92.4058,-12.4205,-99.6630
23.695,92.3456,-12.4500,-99.6523
23.822,92.2795,-12.4452,-99.6499
23.940,92.2482,-12.4477,-99.6312
24.059,92.2251,-12.4713,-99.6384
24.180,92.1994,-12.4907,-99.6309
24.299,92.1993,-12.4835,-99.6376
24.426,92.1592,-12.5084,-99.6279
24.544,92.1220,-12.6529,-99.6212
24.671,92.0994,-12.8774,-99.6438
24.789,92.0970,-12.9687,-99.6432
24.908,92.0883,-12.9550,-99.6480
25.030,92.1078,-12.8449,-99.6476
25.148,92.1333,-12.7229,-99.6477
25.275,92.1306,-12.7362,-99.6510
25.394,92.1307,-12.7434,-99.6443
25.521,92.1364,-12.7472,-99.6369
25.639,92.1308,-12.7577,-99.6309
25.758,92.1280,-12.7753,-99.6336
25.879,92.1480,-12.8344,-99.6440
25.998,92.1597,-12.8898,-99.6465
26.125,92.2003,-12.9530,-99.6397
26.243,92.2548,-12.9702,-99.6488
26.372,92.2863,-12.9749,-99.6609
26.490,92.3124,-12.9859,-99.6678
26.608,92.3669,-12.9959,-99.6836
26.730,92.3872,-13.0189,-99.6900
26.848,92.4393,-13.0566,-99.6960
26.975,92.4941,-13.0767,-99.6992
27.094,92.5634,-13.1131,-99.7224
27.221,92.6039,-13.1272,-99.7306
27.339,92.6297,-13.1439,-99.7425
27.458,92.6272,-13.1644,-99.7393
27.579,92.6389,-13.1808,-99.7439
27.697,92.6852,-13.1944,-99.7454
27.824,92.7200,-13.2162,-99.7539
27.943,92.7372,-13.2335,-99.7572
28.070,92.7203,-13.2480,-99.7589
28.189,92.7318,-13.2615,-99.7696
28.307,92.7404,-13.2724,-99.7710
28.429,92.7550,-13.2741,-99.7668
28.547,92.7814,-13.2922,-99.7673
28.682,92.7956,-13.2954,-99.7685
28.802,92.8161,-13.3183,-99.7752
28.923,92.8194,-13.3311,-99.7719
29.043,92.8335,-13.3314,-99.7792
29.170,92.8628,-13.3565,-99.7885
29.288,92.8717,-13.3659,-99.7845
29.406,92.8804,-13.3725,-99.7865
29.528,92.8891,-13.3790,-99.7886
29.646,92.9241,-13.4080,-99.7906
29.773,92.9415,-13.4210,-99.7946
29.892,92.9504,-13.4305,-99.7906
30.019,92.9733,-13.4329,-99.8006
30.137,92.9824,-13.4380,-99.7971
30.256,93.0030,-13.4609,-99.8040
30.377,93.0290,-13.4733,-99.8167
30.496,93.0320,-13.4875,-99.8189
30.631,93.0554,-13.4958,-99.8168
30.750,93.1105,-13.5130,-99.8267
30.872,93.1457,-13.5304,-99.8361
30.991,93.1545,-13.5370,-99.8382
31.118,93.1808,-13.5522,-99.8450
31.237,93.2072,-13.5674,-99.8518
31.355,93.2281,-13.5933,-99.8528
31.477,93.3184,-13.6250,-99.8784
31.595,93.3568,-13.6566,-99.8902
31.722,93.4272,-13.7001,-99.9083
31.841,93.4420,-13.7279,-99.9215
31.968,93.4952,-13.7612,-99.9295
32.086,93.5160,-13.7842,-99.9367
32.204,93.5513,-13.8059,-99.9459
32.326,93.5895,-13.8130,-99.9460
32.444,93.6360,-13.8164,-99.9608
32.571,93.6657,-13.8458,-99.9702
32.690,93.6923,-13.8611,-99.9773
32.817,93.7071,-13.8628,-99.9734
32.936,93.7247,-13.8758,-99.9777
33.054,93.7891,-13.8879,-99.9976
33.176,93.7834,-13.8956,-99.9978
33.294,93.8015,-13.9072,-99.9968
33.421,93.8425,-13.9256,-100.0054
33.540,93.8549,-13.9449,-100.0046
33.666,93.8726,-13.9580,-100.0090
33.785,93.8726,-13.9580,-100.0090
33.904,93.8814,-13.9645,-100.0113
34.025,93.9136,-13.9764,-100.0177
34.143,93.9640,-13.9925,-100.0298
34.270,93.9908,-14.0150,-100.0305
34.389,94.0264,-14.0367,-100.0401
34.516,94.0644,-14.0409,-100.0464
34.635,94.0790,-14.0397,-100.0485
34.753,94.0736,-14.0503,-100.0428
34.875,94.0738,-14.0459,-100.0433
34.993,94.0823,-14.0496,-100.0515
35.120,94.0823,-14.0496,-100.0515
35.238,94.0823,-14.0496,-100.0515
35.366,94.0766,-14.0573,-100.0517
35.484,94.0477,-14.0626,-100.0416
35.602,94.0183,-14.0693,-100.0370
35.724,93.9983,-14.0811,-100.0292
35.842,93.9519,-14.1067,-100.0256
35.969,93.9084,-14.1248,-100.0065
36.088,93.8589,-14.1361,-100.0005
36.215,93.8096,-14.1547,-99.9881
