time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.000,598.9507,5.2765,250.4514,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.000,598.9507,5.2765,250.4514,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.105,598.8342,5.0566,250.4538,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.218,598.6884,4.7913,250.4557,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.323,598.4612,4.3853,250.4577,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.427,598.2330,3.9813,250.4591,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.535,597.9729,3.5238,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.643,597.6234,2.9113,250.4637,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.750,597.3105,2.3534,250.5316,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.860,596.9854,1.7567,250.7413,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.965,596.5788,0.9947,251.1907,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.069,596.2308,0.3390,251.7005,0.2510,3.8000,-0.4500,0.2991,180.0000,0.0101
1.177,595.9645,0.0850,252.1147,0.2510,3.8000,-0.4500,5.7833,180.0100,0.1988
1.284,595.7380,0.0175,252.4732,0.2510,3.8000,-0.4500,11.5259,180.0412,0.4269
1.390,595.5930,0.1090,252.7134,0.2510,3.8000,-0.4500,13.6291,180.0596,0.5730
1.500,595.4707,0.2851,252.9302,0.2510,3.8000,-0.4500,14.0322,180.0640,0.6588
1.606,595.3425,0.5423,253.1830,0.2510,3.8000,-0.4500,13.3644,180.0546,0.8898
1.715,595.2452,0.7465,253.4021,0.2510,3.8000,-0.4500,12.2068,180.0330,1.1959
1.822,595.1354,0.9416,253.6845,0.2510,3.8000,-0.4500,10.4044,179.9869,1.6785
1.929,595.0475,1.0511,253.9379,0.2510,3.8000,-0.4500,8.6230,179.9259,2.2045
2.029,594.9624,1.1135,254.2067,0.2510,3.8000,-0.4500,6.6075,179.8361,2.8656
2.138,594.8795,1.1357,254.4890,0.2510,3.8000,-0.4500,4.3742,179.7081,3.6758
2.243,594.7831,1.1219,254.8427,0.2510,3.8000,-0.4500,1.4475,179.4901,4.8513
2.349,594.7054,1.0857,255.1479,0.2510,3.8000,-0.4500,358.8545,179.2443,5.9932
2.456,594.6302,1.0325,255.4612,0.2510,3.8000,-0.4500,356.1817,178.9337,7.2649
2.565,594.5425,0.9500,255.8456,0.2510,3.8001,-0.4500,352.9612,178.4742,8.9236
2.673,594.4711,0.8667,256.1710,0.2510,3.8001,-0.4500,350.3481,178.0254,10.3748
2.779,594.4000,0.7708,256.4992,0.2510,3.8000,-0.4500,347.8728,177.5307,11.8440
