time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.000,598.9960,5.1424,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.000,598.9960,5.1424,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.113,598.9960,4.8499,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.228,598.9960,4.5306,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.347,598.9960,4.0666,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.455,598.9960,3.5238,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.559,598.9960,3.0179,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.663,599.0198,2.5132,250.4718,0.2510,3.8000,-0.4500,0.6275,179.9962,359.3116
0.769,599.0913,2.1609,250.5347,0.2510,3.8000,-0.4500,2.4186,179.9431,357.2730
0.873,599.1547,1.9561,250.5851,0.2510,3.8000,-0.4500,3.8208,179.8550,355.4984
0.977,599.1846,1.9272,250.6038,0.2510,3.8000,-0.4500,4.3207,179.8121,354.6769
1.080,599.1995,1.9769,250.6096,0.2510,3.8000,-0.4500,4.4593,179.7988,354.2814
1.184,599.2004,2.0617,250.6103,0.2510,3.8000,-0.4500,4.4593,179.7988,354.2814
1.290,599.2043,2.1432,250.6101,0.2510,3.8000,-0.4500,4.4277,179.8020,354.2019
1.395,599.2172,2.2091,250.6065,0.2510,3.8000,-0.4500,4.2804,179.8174,353.8911
1.500,599.2236,2.2342,250.6041,0.2510,3.8000,-0.4500,4.1788,179.8284,353.7540
1.605,599.2323,2.2325,250.5999,0.2510,3.8000,-0.4500,4.0205,179.8461,353.5587
1.713,599.2407,2.2065,250.5950,0.2510,3.8000,-0.4500,3.8378,179.8671,353.3854
1.821,599.2465,2.1747,250.5919,0.2510,3.8000,-0.4500,3.7165,179.8813,353.2772
1.933,599.2545,2.1315,250.5862,0.2510,3.8000,-0.4500,3.5103,179.9059,353.1274
2.036,599.2599,2.0981,250.5826,0.2510,3.8000,-0.4500,3.3754,179.9223,353.0362
2.137,599.2635,2.0693,250.5814,0.2510,3.8000,-0.4500,3.3100,179.9304,352.9952
2.243,599.2704,2.0417,250.5750,0.2510,3.8000,-0.4500,3.0914,179.9575,352.8749
2.349,599.2753,2.0183,250.5711,0.2510,3.8000,-0.4500,2.9500,179.9753,352.8053
2.456,599.2819,1.9915,250.5642,0.2510,3.8000,-0.4500,2.7153,180.0052,352.7106
2.563,599.2844,1.9724,250.5651,0.2510,3.8000,-0.4500,2.7153,180.0052,352.7106
2.676,599.2912,1.9446,250.5554,0.2510,3.8000,-0.4500,2.4015,180.0456,352.6131
2.783,599.2939,1.9237,250.5562,0.2510,3.8000,-0.4500,2.4015,180.0456,352.6131
2.891,599.2989,1.8945,250.5487,0.2510,3.8000,-0.4500,2.1540,180.0778,352.5724
2.993,599.3016,1.8712,250.5494,0.2510,3.8000,-0.4500,2.1540,180.0778,352.5724
3.101,599.3049,1.8457,250.5446,0.2510,3.8000,-0.4500,1.9924,180.0989,352.5636
3.213,599.3080,1.8152,250.5399,0.2510,3.8000,-0.4500,1.8308,180.1201,352.5703
3.320,599.3105,1.7898,250.5378,0.2510,3.8000,-0.4500,1.7507,180.1305,352.5762
3.430,599.3132,1.7650,250.5385,0.2510,3.8000,-0.4500,1.7507,180.1305,352.5762
3.530,599.3149,1.7395,250.5334,0.2510,3.8000,-0.4500,1.5867,180.1518,352.6131
3.640,599.3162,1.7094,250.5287,0.2510,3.8000,-0.4500,1.4295,180.1722,352.6678
3.748,599.3190,1.6848,250.5292,0.2510,3.8000,-0.4500,1.4295,180.1722,352.6678
3.849,599.3190,1.6605,250.5246,0.2510,3.8000,-0.4500,1.2823,180.1910,352.7440
3.950,599.3201,1.6362,250.5226,0.2510,3.8000,-0.4500,1.2131,180.1998,352.7879
4.051,599.3196,1.6118,250.5183,0.2510,3.8000,-0.4500,1.0789,180.2167,352.8770
4.158,599.3229,1.5829,250.5188,0.2510,3.8000,-0.4500,1.0789,180.2167,352.8770
4.264,599.3257,1.5588,250.5192,0.2510,3.8000,-0.4500,1.0789,180.2167,352.8770
4.371,599.3224,1.5311,250.5135,0.2510,3.8000,-0.4500,0.9033,180.2384,353.0540
4.476,599.3251,1.5071,250.5138,0.2510,3.8000,-0.4500,0.9033,180.2384,353.0540
