time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,600.0000,4.5258,250.0000,0.0000,180.0000,0.0000
0.000,600.0000,4.5258,250.0000,0.0000,180.0000,0.0000
0.101,600.0000,4.2196,250.0000,0.0000,180.0000,0.0000
0.204,600.0000,3.8505,250.0000,0.0000,180.0000,0.0000
0.311,600.0000,3.3329,250.0000,0.0000,180.0000,0.0000
0.422,600.0000,2.8457,250.0000,0.0000,180.0000,0.0000
0.523,600.0000,2.3130,250.0000,0.0000,180.0000,0.0000
0.635,600.0000,1.6198,250.0000,0.0000,180.0000,0.0000
0.740,600.0000,1.0016,250.0000,0.0000,180.0000,0.0000
0.844,600.0000,0.3505,250.0000,0.0000,180.0000,0.0000
0.945,600.0000,-0.4700,250.0000,0.0000,180.0000,0.0000
1.056,600.0000,-1.1711,250.0000,0.0000,180.0000,0.0000
1.158,599.9996,-1.7333,249.9480,358.7522,179.9999,0.0089
1.263,599.9990,-2.0653,249.8803,357.1738,179.9995,0.0216
1.364,599.9984,-2.2090,249.8277,356.0223,179.9989,0.0334
1.468,599.9982,-2.1953,249.8096,355.6970,179.9987,0.0380
1.582,599.9982,-2.1304,249.8050,355.6970,179.9987,0.0380
1.687,599.9982,-2.0514,249.7995,355.6970,179.9987,0.0380
1.792,599.9982,-2.0177,249.7949,355.6970,179.9987,0.0380
1.894,599.9982,-2.0237,249.7903,355.6970,179.9987,0.0380
1.997,599.9982,-2.0664,249.7856,355.6970,179.9987,0.0380
2.108,599.9982,-2.1522,249.7801,355.6970,179.9987,0.0380
2.211,599.9982,-2.2393,249.7755,355.6970,179.9987,0.0380
2.321,599.9982,-2.3300,249.7709,355.6970,179.9987,0.0380
2.428,599.9982,-2.4349,249.7654,355.6970,179.9986,0.0380
2.544,599.9982,-2.5153,249.7609,355.6970,179.9987,0.0380
2.654,599.9982,-2.6027,249.7555,355.6970,179.9986,0.0379
2.755,599.9982,-2.6694,249.7511,355.6970,179.9987,0.0380
2.859,599.9982,-2.7322,249.7467,355.6970,179.9987,0.0380
2.959,599.9982,-2.7929,249.7423,355.6970,179.9987,0.0380
3.071,599.9982,-2.8648,249.7372,355.6970,179.9987,0.0380
3.186,599.9982,-2.9365,249.7321,355.6970,179.9987,0.0380
