time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.000,598.9960,4.9058,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.000,598.9960,4.9058,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.101,598.9960,4.5996,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.204,598.9960,4.2305,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.311,598.9960,3.7129,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.422,598.9960,3.2257,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.523,598.9960,2.6930,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.635,598.9960,1.9998,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.740,598.9960,1.3816,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.844,598.9960,0.7305,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.945,598.9960,-0.0900,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.056,598.9960,-0.7911,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.158,598.9956,-1.3631,250.4062,0.2510,3.8000,-0.4500,358.7522,179.9999,0.0089
1.263,598.9951,-1.7075,250.3485,0.2510,3.8000,-0.4500,357.1738,179.9995,0.0216
1.364,598.9946,-1.8605,250.3030,0.2510,3.8000,-0.4500,356.0223,179.9989,0.0334
1.468,598.9944,-1.8495,250.2869,0.2510,3.8000,-0.4500,355.6970,179.9987,0.0380
1.582,598.9944,-1.7845,250.2823,0.2510,3.8000,-0.4500,355.6970,179.9987,0.0380
1.687,598.9944,-1.7055,250.2768,0.2510,3.8000,-0.4500,355.6970,179.9987,0.0380
1.792,598.9944,-1.6719,250.2722,0.2510,3.8000,-0.4500,355.6970,179.9987,0.0380
