time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.000,598.9360,5.2478,250.4518,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.000,598.9360,5.2478,250.4518,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.101,598.8342,5.0566,250.4541,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.204,598.6544,4.7300,250.4566,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.306,598.4615,4.3853,250.4585,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.411,598.2339,3.9813,250.4562,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.512,597.9785,3.5238,250.4200,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.619,597.7009,3.0179,250.3250,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.723,597.4047,2.4682,250.1607,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.827,597.0283,1.7567,249.8688,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.930,596.6993,1.1249,249.5486,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.037,596.3579,0.4615,249.1627,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.138,596.0056,-0.2305,248.7157,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.240,595.6631,-0.8984,248.2370,0.2510,3.8000,-0.4500,359.9899,180.0000,0.3617
1.343,595.3929,-1.3460,247.7948,0.2510,3.8000,-0.4500,359.9581,179.9994,2.4457
1.446,595.2390,-1.4897,247.5034,0.2510,3.8000,-0.4500,-0.0033,180.0014,3.1501
1.547,595.1195,-1.4770,247.2511,0.2510,3.8000,-0.4500,-0.0033,180.0013,3.1501
1.649,595.0167,-1.3727,247.0195,0.2510,3.8000,-0.4500,0.2269,180.0130,2.6212
1.750,594.9214,-1.2364,246.8006,0.2510,3.8000,-0.4500,0.4781,180.0229,1.8873
1.852,594.8289,-1.1121,246.5898,0.2510,3.8000,-0.4500,0.7250,180.0294,1.0931
1.952,594.7371,-1.0249,246.3841,0.2510,3.8000,-0.4500,0.9657,180.0323,0.2927
2.056,594.6449,-0.9827,246.1819,0.2510,3.8000,-0.4500,1.2015,180.0319,359.5049
2.159,594.5525,-0.9813,245.9817,0.2510,3.8000,-0.4500,1.4329,180.0283,358.7367
2.260,594.4595,-1.0102,245.7827,0.2510,3.8000,-0.4500,1.6589,180.0219,357.9924
2.363,594.3660,-1.0576,245.5839,0.2510,3.8000,-0.4500,1.8785,180.0128,357.2759
2.466,594.2526,-1.1240,245.3447,0.2510,3.8000,-0.4500,2.1317,179.9989,356.4582
2.568,594.1566,-1.1794,245.1441,0.2510,3.8000,-0.4500,2.3328,179.9854,355.8160
2.669,594.0590,-1.2308,244.9420,0.2510,3.8000,-0.4500,2.5241,179.9703,355.2134
2.773,593.9603,-1.2775,244.7381,0.2510,3.8000,-0.4500,2.7048,179.9543,354.6535
2.876,593.8604,-1.3204,244.5324,0.2510,3.8000,-0.4500,2.8745,179.9376,354.1397
2.983,593.7391,-1.3690,244.2831,0.2510,3.8000,-0.4500,3.0634,179.9173,353.5883
3.088,593.6376,-1.4077,244.0736,0.2510,3.8000,-0.4500,3.1804,179.9038,353.2619
3.191,593.5356,-1.4477,243.8625,0.2510,3.8000,-0.4500,3.2993,179.8894,352.9534
3.295,593.4342,-1.4861,243.6504,0.2510,3.8000,-0.4500,3.3291,179.8857,352.8788
3.398,593.3318,-1.5286,243.4369,0.2510,3.8000,-0.4500,3.4300,179.8728,352.6532
3.500,593.2296,-1.5700,243.2227,0.2510,3.8000,-0.4500,3.4684,179.8678,352.5819
3.601,593.1275,-1.6109,243.0078,0.2510,3.8000,-0.4500,3.4684,179.8679,352.5819
3.703,593.0253,-1.6514,242.7923,0.2510,3.8000,-0.4500,3.4684,179.8679,352.5819
3.805,592.9026,-1.6985,242.5330,0.2510,3.8000,-0.4500,3.4684,179.8679,352.5819
3.906,592.8005,-1.7358,242.3164,0.2510,3.8000,-0.4500,3.4684,179.8679,352.5819
4.010,592.6986,-1.7707,242.0995,0.2510,3.8000,-0.4500,3.4684,179.8679,352.5819
4.115,592.5983,-1.7982,241.8806,0.2510,3.8000,-0.4500,3.6604,179.8431,352.7639
