time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,600.0000,4.8965,250.0000,0.0000,180.0000,0.0000
0.000,600.0000,4.8965,250.0000,0.0000,180.0000,0.0000
0.112,600.0000,4.7210,250.0000,0.0000,180.0000,0.0000
0.221,600.1936,4.4248,250.0886,2.1304,179.9140,355.3350
0.326,600.3755,4.2091,250.1658,3.9689,179.6940,350.9580
0.435,600.4890,4.0381,250.2067,4.9171,179.5205,348.2531
0.539,600.5631,3.8996,250.2235,5.2566,179.4453,346.5956
0.644,600.5978,3.8382,250.2236,5.1986,179.4598,345.9212
0.749,600.6160,3.8117,250.2219,5.0912,179.4871,345.6756
0.854,600.6313,3.8037,250.2173,4.9103,179.5338,345.5166
0.959,600.6514,3.8007,250.2060,4.5612,179.6250,345.2998
1.062,600.6648,3.7913,250.1995,4.3416,179.6830,345.2071
1.165,600.6769,3.7710,250.1958,4.1896,179.7233,345.1538
1.273,600.6910,3.7392,250.1814,3.7881,179.8304,345.0602
1.382,600.7041,3.6888,250.1812,3.7112,179.8510,345.0461
1.496,600.7156,3.6396,250.1658,3.2928,179.9630,345.0221
1.607,600.7282,3.5769,250.1617,3.1328,180.0059,345.0310
1.714,600.7383,3.5234,250.1537,2.8935,180.0699,345.0558
1.825,600.7489,3.4606,250.1459,2.6538,180.1338,345.1154
1.935,600.7579,3.4097,250.1413,2.5021,180.1741,345.1648
2.045,600.7688,3.3499,250.1371,2.3552,180.2130,345.2236
2.159,600.7756,3.2909,250.1271,2.0742,180.2868,345.3810
2.267,600.7824,3.2432,250.1231,1.9467,180.3199,345.4784
2.374,600.7890,3.1946,250.1192,1.8218,180.3522,345.5824
2.482,600.7916,3.1365,250.1112,1.5970,180.4095,345.8264
2.584,600.7997,3.0882,250.1101,1.5451,180.4226,345.8880
2.688,600.8013,3.0398,250.1054,1.4075,180.4569,346.0966
2.789,600.8030,2.9902,250.1012,1.2854,180.4869,346.3061
2.896,600.8130,2.9433,250.1021,1.2854,180.4869,346.3061
3.005,600.8156,2.8852,250.0988,1.1845,180.5113,346.5312
3.109,600.8187,2.8380,250.0972,1.1267,180.5251,346.6893
3.210,600.8221,2.7897,250.0958,1.0749,180.5373,346.8425
3.318,600.8335,2.7343,250.0966,1.0749,180.5372,346.8424
3.421,600.8366,2.6877,250.0955,1.0309,180.5475,346.9945
3.535,600.8461,2.6411,250.0961,1.0309,180.5475,346.9945
3.647,600.8572,2.5861,250.0968,1.0309,180.5475,346.9945
3.759,600.8684,2.5311,250.0976,1.0309,180.5475,346.9945
3.865,600.8779,2.4851,250.0982,1.0309,180.5474,346.9945
3.975,600.8873,2.4391,250.0988,1.0309,180.5474,346.9945
4.084,600.8987,2.3835,250.0995,1.0309,180.5474,346.9945
4.190,600.9081,2.3369,250.1001,1.0309,180.5474,346.9945
4.297,600.9176,2.2900,250.1008,1.0309,180.5474,346.9944
4.406,600.9290,2.2333,250.1016,1.0309,180.5474,346.9944
4.519,600.9406,2.1761,250.1024,1.0309,180.5474,346.9944
4.675,600.9542,2.1087,250.1034,1.0309,180.5474,346.9944
4.788,600.9659,2.0503,250.1042,1.0309,180.5474,346.9944
4.901,600.9778,1.9914,250.1050,1.0309,180.5474,346.9945
5.008,600.9975,1.9442,250.1029,0.9693,180.5618,346.7538
5.118,601.0193,1.8870,250.1019,0.9320,180.5707,346.5139
5.221,601.0297,1.8372,250.1026,0.9320,180.5707,346.5139
5.331,601.0469,1.7889,250.1028,0.9251,180.5724,346.3482
5.435,601.0641,1.7406,250.1035,0.9285,180.5715,346.1851
5.537,601.0748,1.6907,250.1041,0.9285,180.5715,346.1851
5.647,601.0908,1.6317,250.1051,0.9380,180.5692,346.1047
5.752,601.1080,1.5836,250.1069,0.9678,180.5618,345.9470
5.856,601.1187,1.5343,250.1075,0.9678,180.5618,345.9470
5.964,601.1315,1.4757,250.1083,0.9678,180.5618,345.9470
6.067,601.1420,1.4274,250.1089,0.9678,180.5618,345.9471
6.167,601.1524,1.3799,250.1095,0.9678,180.5618,345.9471
6.275,601.1626,1.3332,250.1101,0.9678,180.5618,345.9471
6.376,601.1743,1.2880,250.1136,1.0357,180.5447,345.9071
6.482,601.1878,1.2353,250.1207,1.1861,180.5069,345.8669
6.591,601.1964,1.1925,250.1283,1.3465,180.4665,345.8922
6.692,601.2014,1.1507,250.1424,1.6575,180.3886,345.9991
6.805,601.2018,1.1020,250.1578,1.9865,180.3073,346.2494
6.930,601.1962,1.0548,250.1735,2.3192,180.2269,346.6241
7.036,601.1891,1.0174,250.1850,2.5568,180.1711,346.9803
7.139,601.1775,0.9751,250.1981,2.8244,180.1103,347.4600
7.256,601.1650,0.9423,250.2089,3.0469,180.0616,347.9056
7.361,601.1467,0.9065,250.2223,3.3222,180.0040,348.4979
7.465,601.1286,0.8798,250.2337,3.5610,179.9565,349.0406
7.568,601.1078,0.8562,250.2454,3.8089,179.9097,349.6283
7.677,601.0844,0.8360,250.2572,4.0655,179.8641,350.2609
7.777,601.0583,0.8194,250.2692,4.3300,179.8202,350.9378
7.881,601.0237,0.8045,250.2835,4.6562,179.7705,351.8070
7.986,600.9924,0.7965,250.2953,4.9335,179.7323,352.5767
8.088,600.9588,0.7928,250.3068,5.2138,179.6977,353.3850
8.191,600.9233,0.7934,250.3179,5.4950,179.6670,354.2291
8.296,600.8862,0.7985,250.3284,5.7750,179.6407,355.1053
8.397,600.8478,0.8081,250.3382,6.0513,179.6191,356.0094
8.510,600.8002,0.8258,250.3487,6.3744,179.5996,357.1247
8.615,600.7599,0.8455,250.3563,6.6336,179.5887,358.0734
8.718,600.7196,0.8698,250.3626,6.8807,179.5824,359.0335
8.829,600.6715,0.9046,250.3686,7.1577,179.5804,0.1924
8.934,600.6323,0.9383,250.3719,7.3694,179.5829,1.1568
9.034,600.5941,0.9760,250.3738,7.5612,179.5884,2.1136
9.136,600.5573,1.0174,250.3742,7.7311,179.5961,3.0572
9.241,600.5156,1.0716,250.3725,7.9037,179.6071,4.1644
9.348,600.4832,1.1203,250.3694,8.0196,179.6165,5.0603
9.449,600.4529,1.1718,250.3646,8.1092,179.6252,5.9272
9.556,600.4251,1.2258,250.3584,8.1715,179.6321,6.7614
9.659,600.3952,1.2936,250.3491,8.2096,179.6369,7.7148
9.759,600.3731,1.3521,250.3398,8.2105,179.6371,8.4667
9.865,600.3537,1.4123,250.3291,8.1835,179.6328,9.1778
9.968,600.3369,1.4738,250.3174,8.1287,179.6235,9.8468
10.073,600.3226,1.5364,250.3044,8.0466,179.6086,10.4728
10.179,600.3088,1.6125,250.2875,7.9125,179.5827,11.1665
10.282,600.3000,1.6765,250.2724,7.7719,179.5539,11.6965
10.384,600.2935,1.7408,250.2565,7.6059,179.5185,12.1829
10.488,600.2893,1.8052,250.2399,7.4151,179.4762,12.6261
10.588,600.2870,1.8694,250.2225,7.2005,179.4269,13.0267
10.696,600.2868,1.9332,250.2046,6.9627,179.3706,13.3854
10.801,600.2889,2.0092,250.1824,6.6480,179.2941,13.7617
10.902,600.2941,2.0714,250.1655,6.4063,179.2340,13.9846
11.003,600.2986,2.1330,250.1452,6.0799,179.1514,14.2342
11.107,600.3059,2.1934,250.1272,5.7943,179.0781,14.4032
11.207,600.3130,2.2527,250.1059,5.4193,178.9807,14.5808
11.310,600.3217,2.3106,250.0849,5.0392,178.8809,14.7139
11.418,600.3348,2.3780,250.0662,4.7145,178.7951,14.7868
11.520,600.3458,2.4323,250.0430,4.2555,178.6733,14.8451
11.631,600.3577,2.4847,250.0205,3.7989,178.5518,14.8665
11.736,600.3705,2.5352,249.9989,3.3504,178.4326,14.8517
11.839,600.3871,2.5930,249.9736,2.8122,178.2899,14.7897
11.940,600.4016,2.6389,249.9529,2.3574,178.1701,14.7040
12.045,600.4166,2.6824,249.9324,1.8948,178.0491,14.5892
12.147,600.4323,2.7235,249.9119,1.4241,177.9271,14.4469
12.249,600.4483,2.7622,249.8914,0.9459,177.8046,14.2782
12.355,600.4647,2.7983,249.8711,0.4616,177.6822,14.0845
12.466,600.4848,2.8382,249.8468,359.8737,177.5361,13.8206
12.566,600.5018,2.8685,249.8268,359.3800,177.4157,13.5759
12.683,600.5225,2.9013,249.8029,358.7847,177.2737,13.2542
12.787,600.5399,2.9255,249.7831,358.2881,177.1580,12.9642
12.889,600.5574,2.9469,249.7636,357.7923,177.0452,12.6557
12.990,600.5750,2.9655,249.7442,357.2988,176.9357,12.3298
13.094,600.5927,2.9812,249.7250,356.8091,176.8301,11.9878
