time_sec,angle_x,angle_y,angle_z
0.040,93.8679,-15.7716,-104.0023
0.175,93.6088,-15.6865,-103.8425
0.293,93.5445,-15.5695,-103.8237
0.420,93.5436,-15.1281,-103.8158
0.539,93.5548,-14.8117,-103.8170
0.666,93.5603,-14.3240,-103.8125
0.784,93.5707,-13.9921,-103.8084
0.903,93.5732,-13.6615,-103.7963
1.024,93.5716,-13.3417,-103.7796
1.142,93.5787,-12.8806,-103.7619
1.278,93.5737,-12.4127,-103.7460
1.397,93.5649,-12.1096,-103.7332
1.519,93.5572,-11.8093,-103.7153
1.638,93.5496,-11.3707,-103.7012
1.765,93.5518,-10.9141,-103.6788
1.883,93.5566,-10.6235,-103.6598
2.002,93.5564,-10.3381,-103.6478
2.123,93.5490,-10.0409,-103.6305
2.242,93.5487,-9.5819,-103.6057
2.369,93.5427,-9.1902,-103.5771
2.487,93.5496,-8.9222,-103.5643
2.614,93.5521,-8.4801,-103.5413
2.733,93.5358,-8.1924,-103.5206
2.851,93.5374,-7.9244,-103.4965
2.973,93.5257,-7.6610,-103.4656
3.091,93.5273,-7.2702,-103.4436
3.226,93.5099,-7.1136,-103.4251
3.346,93.4983,-7.1435,-103.4112
3.467,93.4984,-7.1506,-103.4042
3.587,93.4984,-7.1506,-103.4042
3.714,93.5069,-7.1568,-103.4055
3.832,93.4987,-7.1535,-103.3980
3.950,93.4985,-7.1578,-103.3971
4.072,93.4986,-7.1649,-103.3901
4.190,93.4901,-7.1587,-103.3888
4.326,93.4983,-7.1620,-103.3963
4.445,93.4986,-7.1649,-103.3901
4.567,93.4988,-7.1607,-103.3909
4.686,93.5042,-7.1542,-103.3962
4.813,93.4960,-7.1509,-103.3886
4.931,93.4960,-7.1509,-103.3886
5.049,93.4960,-7.1509,-103.3886
5.171,93.4960,-7.1509,-103.3886
5.289,93.4960,-7.1509,-103.3886
5.417,93.4962,-7.1467,-103.3895
5.535,93.4959,-7.1438,-103.3957
5.662,93.5016,-7.1402,-103.3947
5.780,93.5016,-7.1402,-103.3947
5.899,93.5016,-7.1402,-103.3947
6.020,93.5016,-7.1402,-103.3947
6.139,93.4960,-7.1509,-103.3886
6.274,93.4985,-7.1578,-103.3971
6.392,93.4983,-7.1620,-103.3963
6.514,93.4986,-7.1649,-103.3901
6.633,93.4986,-7.1649,-103.3901
6.760,93.5012,-7.1789,-103.3915
6.878,93.5040,-7.1958,-103.3867
6.997,93.5235,-7.2221,-103.3907
7.119,93.5290,-7.2530,-103.3874
7.237,93.5654,-7.2917,-103.3941
7.367,93.5879,-7.3236,-103.4013
7.486,93.6073,-7.3428,-103.4124
7.613,93.6384,-7.3880,-103.4139
7.731,93.6553,-7.4003,-103.4166
7.858,93.7089,-7.4400,-103.4340
7.977,93.7117,-7.4498,-103.4363
8.095,93.7567,-7.4875,-103.4516
8.220,93.7796,-7.5223,-103.4528
8.338,93.8246,-7.5600,-103.4681
8.465,93.8529,-7.5883,-103.4746
8.583,93.8561,-7.6009,-103.4708
8.710,93.8984,-7.6361,-103.4769
8.828,93.9072,-7.6452,-103.4721
8.947,93.9242,-7.6576,-103.4749
9.068,93.9383,-7.6875,-103.4803
9.187,93.9467,-7.7209,-103.4866
9.322,93.9603,-7.7521,-103.4973
9.441,93.9659,-7.7486,-103.4963
9.563,93.9659,-7.7486,-103.4963
9.682,93.9749,-7.7534,-103.4924
9.809,93.9778,-7.7632,-103.4948
9.928,93.9861,-7.7664,-103.5024
10.046,93.9861,-7.7664,-103.5024
10.167,93.9778,-7.7632,-103.4948
10.286,93.9805,-7.7772,-103.4964
10.421,93.9976,-7.7895,-103.4992
10.541,94.0035,-7.7889,-103.4921
10.662,94.0117,-7.7922,-103.4997
10.782,94.0120,-7.7951,-103.4935
10.909,94.0146,-7.8019,-103.5021
11.027,93.9886,-8.3532,-103.3898
11.145,94.0147,-7.8091,-103.4951
11.267,94.0091,-7.8126,-103.4961
11.385,94.0033,-7.8204,-103.4963
11.520,93.9859,-7.8510,-103.4898
11.640,93.9596,-7.8653,-103.4950
11.762,93.8880,-7.8806,-103.4817
11.881,93.8132,-7.9105,-103.4771
12.008,93.7271,-7.9316,-103.4618
12.126,93.7012,-7.9488,-103.4609
12.244,93.6127,-7.9517,-103.4449
12.366,93.5664,-7.9754,-103.4491
12.484,93.4635,-7.9842,-103.4311
12.619,93.3608,-7.9815,-103.4210
12.739,93.3094,-7.9915,-103.4081
12.861,93.2095,-8.0029,-103.3997
12.980,93.1609,-8.0269,-103.3884
13.107,93.0867,-8.0525,-103.3849
13.225,93.0127,-8.0579,-103.3696
13.344,92.9783,-8.0803,-103.3595
13.465,92.9356,-8.0852,-103.3559
13.583,92.8562,-8.1013,-103.3346
13.719,92.7991,-8.1119,-103.3291
13.837,92.7877,-8.1233,-103.3302
13.959,92.7820,-8.1311,-103.3303
14.078,92.7277,-8.1558,-103.3263
14.205,92.7079,-8.1681,-103.3190
14.323,92.6652,-8.1771,-103.3147
14.442,92.6679,-8.1911,-103.3162
14.563,92.6679,-8.1911,-103.3162
