time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.083,598.9960,5.3238,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.185,598.9960,5.1807,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.285,598.9960,4.9589,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.399,598.9960,4.6661,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.515,598.9960,4.2304,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.633,598.9960,3.7128,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.735,598.9960,3.2257,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.854,598.9960,2.5813,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.973,598.9960,1.8788,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.085,598.9960,1.1248,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.203,598.9960,0.3252,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.316,598.9960,-0.3722,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.430,598.9960,-1.2424,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.541,598.9960,-2.1449,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.658,598.9960,-2.9191,250.4500,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
1.772,598.9954,-3.8225,250.3955,0.2510,3.8000,-0.4500,358.4389,179.9998,0.0161
1.888,598.9933,-4.4770,250.1986,0.2510,3.8000,-0.4500,353.0482,179.9955,0.0749
2.019,598.9915,-4.8040,250.0540,0.2510,3.8000,-0.4500,349.5707,179.9896,0.1176
2.120,598.9905,-4.9140,249.9758,0.2510,3.8000,-0.4500,348.1191,179.9863,0.1395
2.220,598.9896,-4.9586,249.9090,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.343,598.9892,-4.9959,249.8671,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.462,598.9888,-5.0796,249.8251,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.565,598.9885,-5.1954,249.7901,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.676,598.9882,-5.3485,249.7553,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.777,598.9879,-5.5279,249.7206,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.877,598.9876,-5.7216,249.6861,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
2.983,598.9872,-5.9587,249.6449,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
3.093,598.9869,-6.1521,249.6109,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
3.196,598.9866,-6.3378,249.5771,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
3.303,598.9863,-6.5498,249.5370,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
3.407,598.9860,-6.7185,249.5040,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
3.507,598.9857,-6.8818,249.4713,0.2510,3.8000,-0.4500,347.3140,179.9842,0.1561
3.613,598.9887,-7.0422,249.4465,0.2510,3.8000,-0.4500,347.5500,179.9847,0.0576
3.718,598.9920,-7.2015,249.4226,0.2510,3.8000,-0.4500,347.7853,179.9847,359.9625
